seasonality,lead_time_vec,util_cum,disc_mean,util_rate_cum
1,-36,1.1428571428571428,69.64285714285714,0.012030075187969927
1,-35,2.625,68.48809523809524,0.027631578947368427
1,-34,3.0,70.18214285714286,0.031578947368421054
1,-33,2.6547619047619047,70.63492063492062,0.027944862155388474
1,-32,3.8645833333333335,65.97645975056689,0.04070700093607511
1,-31,6.573446327683617,65.97606390784355,0.0691941718703538
1,-30,9.419117647058824,66.93167559564618,0.09914860681114548
1,-29,12.020226537216828,66.06147643314902,0.12735344219820702
1,-28,15.896126760563384,65.26798943688443,0.1683224237336163
1,-27,21.656666666666666,65.06626081848196,0.22845191291481717
1,-26,23.095679012345677,66.07233818403267,0.24676594024512008
1,-25,25.973214285714285,65.86968527652104,0.2771427130257188
1,-24,27.327777777777776,65.37117656765876,0.29130409997245754
1,-23,29.72979797979798,64.35362772840598,0.3139431730110233
1,-22,32.29761904761905,63.02005504323465,0.34136848144457527
1,-21,30.911616161616163,64.47310708932365,0.33038720053477644
1,-20,32.505376344086024,64.92773432242527,0.3478586052808239
1,-19,33.494281045751634,65.30379286371942,0.35622562489379606
1,-18,36.411111111111104,64.6368169219382,0.3872196555646144
1,-17,39.830555555555556,64.45116551439811,0.4261913683441903
1,-16,38.3073476702509,65.14816260734636,0.41548848064997546
1,-15,38.865873015873014,65.46808344196863,0.4255607163216548
1,-14,40.81313131313131,63.85079005507868,0.45806360136791907
1,-13,42.80255255255255,64.94520794020424,0.4766262861697231
1,-12,45.44918699186992,65.40043912053608,0.5364441310580166
1,-11,50.17948717948718,65.0311780914367,0.6204733053179471
1,-10,49.98958333333333,66.69845809922802,0.6563615947041757
1,-9,54.00730994152047,66.1894450789486,0.7229715470629264
1,-8,53.4527027027027,67.88716795246069,0.7765737981020162
1,-7,54.86716524216524,68.68355277401422,0.8229476816192101
1,-6,59.78207671957672,68.98852089997938,0.9430664139050313
1,-5,61.562777777777775,68.56054242537735,0.9672982776400662
1,-4,68.30833333333334,67.05380180430528,0.960091135408193
1,-3,73.96654040404042,66.85568097801091,1.044736368993445
1,-2,82.70502645502646,65.89534264630706,1.1193591713249293
1,-1,83.26638176638177,65.36390432597696,1.1089802632605426
1,0,83.74839743589745,63.38714263378509,1.0470139483218115
2,-36,1.0909090909090908,73.5909090909091,0.01148325358851675
2,-35,2.4126984126984126,68.28571428571429,0.025396825396825393
2,-34,3.6666666666666665,67.8,0.038765588670471356
2,-33,3.2888888888888888,70.6,0.034619883040935676
2,-32,4.416666666666667,70.77708333333334,0.04649122807017544
2,-31,5.486111111111111,71.33001893939392,0.05784365532304657
2,-30,7.123456790123457,72.14896045312713,0.07498375568551006
2,-29,10.127415458937197,71.1752942871019,0.10680287894522404
2,-28,15.687499999999998,70.57646762739078,0.16548487181809945
2,-27,18.988888888888887,71.27276678190864,0.20110054252096105
2,-26,17.158119658119656,70.97835926359166,0.1827190001571739
2,-25,20.219135802469136,71.68985892668051,0.21503127519825893
2,-24,19.035714285714285,72.19790557860229,0.20287616631941296
2,-23,19.76923076923077,73.15078976046945,0.21114091995512413
2,-22,21.91865079365079,72.25010062418701,0.23485344888325232
2,-21,23.782051282051277,72.38861561925722,0.2556054176219046
2,-20,23.0,72.30248330970105,0.2491711205725156
