seasonality,lead_time_vec,util_cum,disc_mean,util_rate_cum
1,-36,1.2983217592592593,68.3420138888889,0.05436515885734631
1,-35,1.7503703703703704,68.12577777777778,0.07827920227920222
1,-34,1.792156862745098,71.41176470588238,0.08711502549737841
1,-33,1.9944800569800576,69.94289529914532,0.09523098577585751
1,-32,2.505013550135501,69.89286101432444,0.10357316576828773
1,-31,2.9994798168955468,69.73089131010481,0.12787217290962632
1,-30,3.9424603174603186,71.30105132962277,0.17722060512239113
1,-29,4.535137228862327,71.35103586099603,0.21371248826428138
1,-28,5.626621347085483,71.14794093075224,0.26436693548156176
1,-27,6.253397282174261,71.14551164263393,0.2785125379549839
1,-26,6.635008481764206,70.92316010961052,0.2987523340385936
1,-25,7.151234567901233,71.83656534292042,0.32419952548920805
1,-24,7.052162849872772,72.03941086292345,0.32235189534807834
1,-23,7.689782439782442,71.86443037978663,0.3444276876969184
1,-22,7.904663923182441,71.70200833296218,0.3629378080766968
1,-21,8.69723774053383,70.82183015253995,0.39656402980425354
1,-20,8.919934640522872,69.85457621636215,0.4052479655420832
1,-19,8.846957671957673,70.13186540376316,0.40424064814276456
1,-18,8.874952919020714,69.93427242252343,0.40412924044986176
1,-17,8.910256410256409,70.58762762525049,0.4069980030144866
1,-16,9.099769717904431,71.25828252740081,0.4223746470378596
1,-15,9.856106106106106,71.27105714222749,0.4457720999387667
1,-14,10.248368794326238,71.60957320275374,0.46901516509495256
1,-13,11.058745247148288,71.60843395581244,0.5177692895753736
1,-12,11.390173473869122,71.90083366032567,0.5262279266627092
1,-11,12.096789617486337,71.58027761342797,0.5594695233424741
1,-10,12.553616557734204,71.71388240391592,0.5694538593215062
1,-9,13.25315151515151,71.7008246126984,0.6021577940577941
1,-8,13.645828527489426,72.12030771410716,0.6244218798630568
1,-7,14.098389217619989,71.55611751184402,0.6462473839988635
1,-6,14.963255777144667,71.66471062630337,0.675635697530284
1,-5,15.937870896464648,72.27230104329615,0.7217060702607577
1,-4,16.57061191626408,71.95772281496197,0.7543961426388958
1,-3,17.331708449396476,71.78190526702308,0.7895219261549347
1,-2,18.028136909997073,71.84534429554225,0.8320110397518052
1,-1,19.144539141414143,72.1477367233824,0.8806564023360905
1,0,19.77745289148798,72.60748199025839,0.9009373594242016
2,-36,1.347222222222222,69.23055555555557,0.05960470085470083
2,-35,1.513227513227513,65.44444444444446,0.06245421245421249
2,-34,2.2244152046783623,69.94736842105263,0.08764619883040937
2,-33,2.0122222222222224,71.76666666666667,0.08887179487179483
2,-32,2.8465447154471546,69.69613821138212,0.11107984156764644
2,-31,3.801633986928105,70.7399019607843,0.14756075079604486
2,-30,4.562043795620436,70.79932168399323,0.18066317299893953
2,-29,5.073194444444446,71.45593238705739,0.21885007122507144
2,-28,7.374696749150895,71.91508968954385,0.32522549422112773
2,-27,7.825203252032519,70.78369983674862,0.3356802862900424
2,-26,8.266908212560384,70.18721526058482,0.33592220983525345
2,-25,8.822916666666668,71.47167343388936,0.3734306203056203
2,-24,8.43498817966903,71.95171102538124,0.3656619385342789
2,-23,8.93028322440087,71.85741454815849,0.40556393497569976
2,-22,9.477040816326529,71.71379090097577,0.41798651084365374
2,-21,10.396043771043772,70.27478073273528,0.4582345894845895
2,-20,10.817234848484846,71.54257604583472,0.4833976787101788
2,-19,11.427838164251208,71.95440903807608,0.5028416480862133
2,-18,12.435555555555554,71.47981413057188,0.4917108262108262
2,-17,12.66745283018868,71.33440804833401,0.5110536606998871
2,-16,12.17847222222222,72.08321637663161,0.5077021011396012
2,-15,13.1270964360587,71.63162019502329,0.5723270440251571
2,-14,14.453460038986355,70.98353639952344,0.6063949492677562
2,-13,14.837316561844865,70.95118898245319,0.6057718513143041
2,-12,15.159867330016583,70.68062574109042,0.6384766339243952
2,-11,15.384829059829059,71.81845563729335,0.6523837113740961
2,-10,16.338818565400846,71.77347174908864,0.6680086281510332
2,-9,16.722258771929827,72.23530560823883,0.6633656657669817
2,-8,18.010683760683772,71.99833982239024,0.7109761943896559
2,-7,18.283299039780527,72.54994469266232,0.7606265607963139
2,-6,18.15678210678211,72.52093026016867,0.7602757890257892
2,-5,19.17771739130435,72.55369038860647,0.7884235646599779
2,-4,19.50047281323877,72.38772625865633,0.8127630781354186
2,-3,20.337623762376232,72.17083104555668,0.8613229880680373
2,-2,21.209463824289404,71.74628719676848,0.8571013880606906
2,-1,22.579903978052126,71.41294818346967,0.944569308149555
2,0,23.831649831649834,70.92478225283006,0.9692043296209965
3,-36,2.019753086419753,50.60005291005291,0.08053181386514714
3,-35,2.6504629629629632,54.73518518518519,0.10923254985754988
