seasonality,lead_time_vec,discount,cnt_rate
1,-36,72.06666666666666,0.03578544061302682
1,-35,71.96428571428571,0.04268707482993197
1,-34,74.28571428571429,0.03928571428571428
1,-33,73.21052631578948,0.04178981937602627
1,-32,72.29729729729729,0.038350419384902176
1,-31,72.71698113207547,0.038656008922762386
1,-30,72.11486486486487,0.03942772822083167
1,-29,72.3719512195122,0.04102687332292039
1,-28,73.22666666666666,0.040588886008123666
1,-27,71.87179487179488,0.04181718664477291
1,-26,71.225,0.040897070261861596
1,-25,71.43478260869566,0.044849004069393926
1,-24,74.82170542635659,0.04351978583186118
1,-23,71.92592592592592,0.04129948914431677
1,-22,74.47727272727273,0.040933348260934525
1,-21,75.87209302325581,0.045073992117422725
1,-20,75.23404255319149,0.04819900080354965
1,-19,74.0,0.040604474548440087
1,-18,73.13846153846154,0.0428774190117203
1,-17,72.35802469135803,0.04446420969409478
1,-16,74.1361111111111,0.044559386973180085
1,-15,73.66428571428571,0.05220292109584302
1,-14,74.27083333333333,0.0438538875925446
1,-13,73.5909090909091,0.048761156417689966
1,-12,74.5125,0.044822508858352775
1,-11,75.69753086419753,0.04632883827277853
1,-10,75.94680851063829,0.04383546908356727
1,-9,74.82142857142857,0.04577603403300646
1,-8,74.77826086956522,0.04660605787331891
1,-7,74.19506172839505,0.04824801467269699
1,-6,75.95833333333333,0.04665385504768435
1,-5,75.5109649122807,0.04899223444273105
1,-4,74.57212475633527,0.052317145960282724
1,-3,74.93916155419224,0.056868981211225515
1,-2,75.15782828282829,0.05931654720220952
1,-1,75.07049610718813,0.0717509980536763
1,0,76.6857142857143,0.0593101976236536
2,-36,69.5,0.03362068965517241
2,-34,65.0,0.0375
2,-33,69.75,0.035262725779967155
2,-32,68.58333333333333,0.03452380952380952
2,-31,69.83333333333333,0.04194620376886386
2,-30,72.78260869565217,0.036174769757978155
2,-29,70.37837837837837,0.04047619047619051
2,-28,70.02142857142857,0.03873797794980061
2,-27,70.76923076923077,0.03994601889338731
2,-26,69.16666666666667,0.04426691729323307
2,-25,70.41666666666667,0.04583333333333333
2,-24,71.39285714285714,0.04863945578231292
2,-23,70.0,0.03870614035087719
2,-22,67.28571428571429,0.03641863278886872
2,-21,67.53846153846153,0.03717948717948717
2,-20,70.75,0.03936781609195402
2,-19,71.81818181818181,0.04404388714733542
2,-18,69.8225806451613,0.04735434247465163
2,-17,70.22,0.03976026272577996
2,-16,68.2,0.05892857142857146
2,-15,72.66666666666667,0.05555555555555558
2,-14,68.52173913043478,0.044977511244377814
2,-13,70.9,0.039855500821018054
2,-12,71.92708333333333,0.043698686371100165
2,-11,69.82758620689656,0.04594318733814324
2,-10,71.69354838709677,0.04619683245934638
2,-9,71.6951219512195,0.05011213905242503
2,-8,71.375,0.04375783208020054
2,-7,70.75,0.03981481481481484
2,-6,70.55038759689923,0.041415587887119604
2,-5,71.17307692307692,0.054144645433211666
2,-4,69.51886792452831,0.05069122056931531
2,-3,70.95352564102564,0.047123445217819096
2,-2,70.13218390804597,0.050005811198626786
2,-1,72.08943089430895,0.05614983632335675
2,0,71.76543209876543,0.055979908263634796
3,-36,56.875,0.03807471264367816
3,-35,70.0,0.05
3,-34,50.833333333333336,0.03888888888888888
3,-33,30.0,0.03888888888888889
3,-32,63.0,0.03668582375478927
3,-31,45.44444444444444,0.035312899106002556
3,-30,62.25,0.04001436781609196
3,-29,59.07692307692308,0.04257294429708222
3,-28,58.88461538461539,0.04239610963748894
3,-27,50.833333333333336,0.05593869731800766
3,-26,67.0,0.043563218390804605
3,-25,49.833333333333336,0.03649425287356322
3,-24,48.333333333333336,0.039272030651340994
3,-23,55.142857142857146,0.04047619047619048
3,-22,61.333333333333336,0.04482758620689656
3,-21,60.0,0.05333333333333333
3,-20,56.0,0.03793103448275862
3,-19,63.833333333333336,0.04779693486590039
3,-18,53.25,0.03778735632183908
3,-17,62.25,0.04195402298850575
3,-16,47.416666666666664,0.039272030651340994
3,-15,56.77777777777778,0.04086845466155811
3,-14,48.6,0.03689655172413793
3,-13,64.8125,0.04583333333333333
3,-12,58.833333333333336,0.04642401021711366
3,-11,57.5,0.05017683465959328
3,-10,50.964285714285715,0.04770114942528735
3,-9,59.90277777777777,0.057136015325670496
3,-8,60.52777777777778,0.0483397190293742
3,-7,61.041666666666664,0.04602490421455938
3,-6,58.28888888888889,0.04919540229885056
3,-5,58.375,0.04389367816091953
3,-4,55.88235294117647,0.05216362407031777
3,-3,56.473684210526315,0.05807622504537206
3,-2,56.37719298245613,0.0633998790078645
3,-1,57.02777777777778,0.042113665389527453
3,0,55.46666666666667,0.08291187739463603
4,-36,33.75,0.03333333333333333
4,-35,30.2,0.03333333333333333
4,-34,30.444444444444443,0.03333333333333333
4,-33,25.0,0.03611111111111111
4,-32,44.285714285714285,0.04047619047619048
4,-31,31.68,0.038877192982456135
4,-30,37.32142857142857,0.04025689223057645
4,-29,38.513513513513516,0.03783783783783787
4,-28,32.10655737704918,0.042795513373597965
4,-27,37.5,0.042872807017543854
4,-26,27.082706766917294,0.06458910433979688
4,-25,34.4,0.05122807017543859
4,-24,23.019607843137255,0.057946336429308555
4,-23,37.15625,0.045120614035087714
4,-22,33.72222222222222,0.04074074074074074
4,-21,37.32142857142857,0.04285714285714286
4,-20,28.0,0.0388663967611336
4,-19,35.65625,0.04583333333333333
4,-18,32.675,0.04109649122807017
4,-17,37.02777777777778,0.049999999999999996
4,-16,32.475,0.047894736842105254
4,-15,40.06666666666667,0.045730994152046775
4,-14,38.95,0.04552631578947368
4,-13,34.2,0.041666666666666664
4,-12,33.47435897435898,0.0423076923076923
4,-11,36.035714285714285,0.04899749373433583
4,-10,34.77777777777778,0.04128654970760234
4,-9,37.111111111111114,0.039181286549707595
4,-8,40.45454545454545,0.04545454545454545
4,-7,44.138888888888886,0.04980506822612085
4,-6,46.55555555555556,0.0428849902534113
4,-5,37.142857142857146,0.04223057644110275
4,-4,42.723684210526315,0.04967682363804247
4,-3,45.0,0.04526315789473683
4,-2,42.74509803921569,0.05505675954592363
4,-1,41.766666666666666,0.05472013366750209
4,0,43.59090909090909,0.046172248803827746
