seasonality,lead_time_vec,discount,cnt_rate
1,-36,69.0,0.010526315789473684
1,-35,68.75,0.015789473684210527
1,-34,67.33333333333333,0.010526315789473684
1,-33,75.0,0.010526315789473684
1,-32,68.83333333333333,0.010526315789473687
1,-31,63.80769230769231,0.011336032388663968
1,-30,61.09090909090909,0.010526315789473687
1,-29,61.38596491228071,0.012822481059973972
1,-28,66.51515151515152,0.014057447711681862
1,-27,61.07142857142857,0.013533834586466167
1,-26,66.72727272727273,0.014630771891393328
1,-25,65.35714285714286,0.015255004982335358
1,-24,70.66666666666667,0.020110105493745322
1,-23,66.953125,0.01410114140773621
1,-22,65.51851851851852,0.02590009159444797
1,-21,65.1938775510204,0.01600688468158348
1,-20,67.71212121212122,0.02399052495322744
1,-19,68.70833333333334,0.013728598604946103
1,-18,60.46296296296297,0.018220249418727543
1,-17,65.71052631578948,0.013303073791008915
1,-16,53.958333333333336,0.01804692454026633
1,-15,67.7719298245614,0.017181190134499213
1,-14,60.50555555555555,0.030569743087181255
1,-13,57.21078431372549,0.02141072028050281
1,-12,61.355059523809516,0.03770104340808209
1,-11,66.95277777777778,0.04068715051593937
1,-10,68.73666666666666,0.042844526431083205
1,-9,66.68055555555556,0.03178647604773159
1,-8,69.53478260869565,0.039546244056734535
1,-7,72.47463768115942,0.04213884871710683
1,-6,72.79285714285714,0.053125283087236186
1,-5,71.84117647058825,0.06383575393609339
1,-4,70.85493827160495,0.04000435554018306
1,-3,67.98268398268398,0.04788217681513355
1,-2,67.39914772727272,0.05916548971003634
1,-1,66.60916638916639,0.05818642993024732
1,0,65.24908632091889,0.08899122437486422
2,-36,75.33333333333333,0.010526315789473684
2,-35,65.0,0.010526315789473684
2,-34,61.666666666666664,0.011033608116677236
2,-33,71.66666666666667,0.010526315789473684
2,-32,76.5,0.010526315789473684
2,-31,72.58333333333333,0.012534347917987743
2,-30,72.875,0.010526315789473686
2,-29,73.6875,0.012500000000000002
2,-28,72.13725490196077,0.015658920511768436
2,-27,70.0,0.010526315789473684
2,-26,72.0,0.012935954343690551
2,-25,70.0,0.010526315789473684
2,-24,76.5,0.010526315789473684
2,-23,70.2,0.01263157894736842
2,-22,71.92857142857143,0.012682308180088779
2,-21,66.25,0.01128725428027901
2,-20,63.4,0.011135066582117945
2,-19,68.625,0.019181991122384275
2,-18,64.3,0.01897273303741281
2,-17,73.63333333333334,0.017755231452124286
2,-16,71.5625,0.01353836398224477
2,-15,72.63636363636364,0.015460886608635503
2,-14,72.0625,0.01241280913126189
2,-13,76.16666666666667,0.014035087719298246
2,-12,69.83333333333333,0.012710491087155641
2,-11,72.11111111111111,0.01571197068977665
2,-10,70.75,0.017907419150285354
2,-9,71.91269841269842,0.026442612555485103
2,-8,68.38055555555555,0.024836186852673855
2,-7,68.57777777777778,0.029972521665609805
2,-6,71.66349206349206,0.025888818431621212
2,-5,72.61666666666666,0.03145212428662016
2,-4,71.83809523809525,0.030845185252287348
2,-3,72.07000000000001,0.028890298034242232
2,-2,71.93571428571428,0.025255910861491072
2,-1,72.79807692307692,0.034027608409345884
2,0,70.30555555555556,0.03277672091876277
3,-24,50.0,0.010526315789473684
3,-17,50.0,0.010526315789473684
3,-10,53.0,0.010526315789473684
3,-7,55.0,0.010526315789473684
3,-5,55.0,0.010526315789473684
3,-1,53.0,0.010526315789473684
4,-32,27.666666666666668,0.010526315789473684
4,-31,40.333333333333336,0.011033608116677236
4,-30,28.555555555555557,0.011033608116677238
4,-29,32.61538461538461,0.012496951368225944
4,-28,25.9,0.01343901923483407
4,-27,22.5,0.011287254280279012
4,-26,25.7,0.012935954343690551
4,-25,21.27777777777778,0.014711477488902981
4,-24,23.666666666666668,0.013203691960825761
4,-23,24.0,0.01504967237370535
4,-22,23.642857142857142,0.013968656581212066
4,-21,21.821428571428573,0.02277380197481656
4,-20,38.51851851851851,0.016881561333051506
4,-19,21.03846153846154,0.012848153748597633
4,-18,25.258241758241756,0.025569484415394375
4,-17,29.80666666666667,0.01794969351088565
4,-16,20.11111111111111,0.02218347072500529
4,-15,26.953431372549023,0.023984482822932595
4,-14,28.58974358974359,0.01863323740305351
4,-13,25.61309523809524,0.024350031705770454
4,-12,29.864145658263308,0.021157074116901035
4,-11,29.705882352941178,0.0212465962922899
4,-10,34.71071428571429,0.025878249841471152
4,-9,36.19747899159664,0.03611473758812339
4,-8,37.314754689754686,0.04351088564785458
4,-7,38.15735294117647,0.028423290685963665
4,-6,32.51190476190476,0.018389346861128728
4,-5,38.888888888888886,0.016726555344183755
4,-4,36.3,0.021373916719509615
4,-3,37.61746031746032,0.021475375184950327
4,-2,40.8125,0.02358909321496512
4,-1,36.53947368421053,0.025671661716116533
4,0,38.15800865800866,0.03435752579696777
