상태	계약번호	대여차종	대여일시	반납일시	예약채널	고객번호	총청구액	최종수정일시
취소	2022516231	쏘렌토 MQ4 7인승 4WD (D)	2020-12-01 7:00	2020-12-02 18:00	제휴사	113492571	3,000	2020-11-08
취소	2022540355	티볼리 (G)	2020-12-01 7:30	2020-12-02 11:30	홈페이지	111168271	3,000	2020-11-26
취소	2022543356	쏠라티 (D) 2.5 15인승	2020-12-01 7:31	2020-12-08 7:31	직접	D00000387	3,000	2020-12-06
취소	2022543691	쏘나타 DN8 (G)	2020-12-01 8:00	2020-12-03 20:00	홈페이지	11170970	3,000	2020-11-25
취소	2022518588	LF 쏘나타 뉴라이즈 (L)	2020-12-01 8:00	2020-12-03 20:00	홈페이지	112938914	3,000	2020-11-09
취소	2022518578	LF 쏘나타 뉴라이즈 (L)	2020-12-01 8:00	2020-12-03 20:00	홈페이지	112938914	3,000	2020-11-09
취소	2022519748	아반떼 AD (G) F/L	2020-12-01 8:00	2020-12-04 6:00	홈페이지	110575024	3,000	2020-11-25
취소	2022524011	티볼리 (G)	2020-12-01 8:00	2020-12-04 7:30	직접	112660054	3,000	2020-11-26
취소	2022488413	카니발 KA4 9인승 (D)	2020-12-01 8:00	2020-12-30 18:00	직접	D00000387	3,000	2020-11-30
취소	2022477352	BMW 430i Convertible	2020-12-01 8:00	2020-12-30 18:00	직접	D00000387	3,000	2020-12-01
취소	2022536342	스팅어 2.0 터보 (G)	2020-12-01 8:00	2020-12-04 10:00	직접	D00000387	3,000	2020-12-04
취소	2022539454	올 뉴 아반떼 (G)	2020-12-01 8:00	2020-12-03 17:00	모바일	112659230	3,000	2020-11-21
취소	2022543063	LF 쏘나타 뉴라이즈 (G)	2020-12-01 8:00	2020-12-03 18:00	홈페이지	11696218	3,000	2020-11-19
취소	2022528458	더 뉴 레이 (G)	2020-12-01 8:00	2020-12-03 18:00	직접	D00000387	3,000	2020-12-04
취소	2022528455	모닝 어반 (G)	2020-12-01 8:00	2020-12-03 18:00	직접	D00000387	3,000	2020-12-04
취소	2022557427	BMW X7 3.0 (D)	2020-12-01 8:00	2020-12-03 18:00	직접	D00000387	3,000	2020-12-04
취소	2022543120	쏘나타 DN8 (G)	2020-12-01 8:00	2020-12-03 18:00	모바일	11696218	3,000	2020-11-24
취소	2022522072	TESLA MODEL 3 (EV)	2020-12-01 8:00	2020-12-03 18:00	직접	D00000387	3,000	2020-12-04
취소	2022528462	스파크 (G)	2020-12-01 8:00	2020-12-03 18:00	직접	D00000387	3,000	2020-12-04
취소	2022522054	더 뉴 카니발 하이리무진 7인승 (D)	2020-12-01 8:00	2020-12-03 18:00	직접	D00000387	3,000	2020-12-04
취소	2022550115	더 뉴 카니발 9인승 (D)	2020-12-01 8:00	2020-12-03 18:00	제휴사	112107720	3,000	2020-11-24
취소	2022528464	더 올 뉴 벨로스터 (G)	2020-12-01 8:00	2020-12-03 18:00	직접	D00000387	3,000	2020-12-04
취소	2022550056	더 뉴 그랜드 스타렉스 9인승 (D)	2020-12-01 8:00	2020-12-03 18:00	홈페이지	112107720	3,000	2020-11-24
취소	2022522047	G70 2.0 터보 (G)	2020-12-01 8:00	2020-12-03 18:00	직접	D00000387	3,000	2020-12-04
취소	2022528450	All New G80 2.5 (G)	2020-12-01 8:00	2020-12-03 18:00	직접	D00000387	3,000	2020-12-04
취소	2022546761	스파크 (G)	2020-12-01 8:00	2020-12-04 17:00	모바일	112074200	3,000	2020-11-22
취소	2022546912	쏠라티 (D) 2.5 15인승	2020-12-01 8:00	2020-12-04 18:00	직접	D00000387	3,000	2020-12-01
취소	2022536323	GV80 4WD 7인승 (D)	2020-12-01 8:00	2020-12-04 20:00	직접	D00000387	3,000	2020-12-06
취소	2022536322	GV80 4WD 7인승 (D)	2020-12-01 8:00	2020-12-04 20:00	직접	D00000387	3,000	2020-12-06
취소	2022523549	더 뉴 그랜드 스타렉스 9인승 (D)	2020-12-01 8:00	2020-12-04 14:00	직접	112105031	3,000	2020-11-30
취소	2022556462	코나 (G)	2020-12-01 8:00	2020-12-03 13:00	제휴사	D00000387	3,000	2020-11-27
취소	2022556004	올 뉴 아반떼 (G)	2020-12-01 8:00	2020-12-03 13:00	제휴사	D00000387	3,000	2020-11-27
취소	2022556000	올 뉴 아반떼 (G)	2020-12-01 8:00	2020-12-03 13:00	제휴사	112633822	3,000	2020-11-27
취소	2022551834	올 뉴 아반떼 (G)	2020-12-01 8:00	2020-12-02 20:00	모바일	113524157	3,000	2020-11-26
취소	2022522484	더 뉴 카니발 11인승 (D)	2020-12-01 8:00	2020-12-03 14:00	여행사	D00000387	3,000	2020-11-24
취소	2022446583	티볼리 (G)	2020-12-01 8:00	2020-12-03 14:30	모바일	110701731		2020-10-12
취소	2022543265	더 뉴 그랜저 2.5 (G)	2020-12-01 8:10	2020-12-03 13:00	모바일	112296690	3,000	2020-11-20
취소	2022554793	니로 (EV)	2020-12-01 8:20	2020-12-02 8:20	모바일	112849691	3,000	2020-11-30
취소	2022551785	모닝 어반 (G)	2020-12-01 8:30	2020-12-03 19:00	모바일	113524149	3,000	2020-11-25
취소	2022532115	쏘렌토 MQ4 7인승 4WD (D)	2020-12-01 8:30	2020-12-04 19:00	홈페이지	111963383	3,000	2020-11-17
취소	2022551889	LF 쏘나타 뉴라이즈 (L)	2020-12-01 8:30	2020-12-03 8:30	모바일	110873131	3,000	2020-11-27
취소	2022522958	코나 (G)	2020-12-01 8:40	2020-12-02 19:00	모바일	113498518	3,000	2020-11-24
취소	2022538859	LF 쏘나타 뉴라이즈 (L)	2020-12-01 9:00	2020-12-04 9:00	모바일	110873131	3,000	2020-11-25
취소	2022518826	카니발 KA4 9인승 (D)	2020-12-01 9:00	2020-12-07 15:53	직접	D00000387	3,000	2020-12-06
취소	2022538861	그랜저 IG 3.0 (G)	2020-12-01 9:00	2020-12-03 17:30	홈페이지	112043350	3,000	2020-11-18
취소	2022553260	제네시스 G80 3.3 (G)	2020-12-01 9:00	2020-12-03 18:00	카드사	111000941	3,000	2020-11-27
취소	2022522592	더 볼드 스포티지 2WD (D)	2020-12-01 9:00	2020-12-03 18:00	모바일	109900228	3,000	2020-11-10
취소	2022548715	쏘나타 DN8 (G)	2020-12-01 9:00	2020-12-04 16:00	직접	113521543	3,000	2020-11-26
취소	2022498638	셀토스 4WD (D)	2020-12-01 9:00	2020-12-08 17:00	모바일	112355612	3,000	2020-11-01
취소	2022557289	올 뉴 아반떼 (G)	2020-12-01 9:00	2020-12-04 20:00	홈페이지	109821027	3,000	2020-11-28
취소	2022544417	스파크 (G)	2020-12-01 9:00	2020-12-04 19:00	여행사	D00000387	3,000	2020-11-26
취소	2022551769	코나 (G)	2020-12-01 9:00	2020-12-04 19:00	모바일	113512757	3,000	2020-11-25
취소	2022496457	모닝 어반 (G)	2020-12-01 9:00	2020-12-03 11:00	모바일	112208536	3,000	2020-10-30
취소	2022508323	올 뉴 아반떼 (G)	2020-12-01 9:00	2020-12-03 13:00	제휴사	112035059	3,000	2020-11-04
취소	2022544298	더 뉴 카니발 9인승 (D)	2020-12-01 9:00	2020-12-02 9:00	홈페이지	113517555	3,000	2020-11-20
취소	2022544303	더 뉴 카니발 9인승 (D)	2020-12-01 9:00	2020-12-02 9:00	홈페이지	113517555	3,000	2020-11-20
취소	2022556037	쏘나타 DN8 (G)	2020-12-01 9:00	2020-12-02 16:00	직접	D00000387	3,000	2020-11-30
취소	2022557534	카니발 KA4 9인승 (D)	2020-12-01 9:00	2020-12-02 20:00	직접	109767520	3,000	2020-11-30
취소	2022557535	카니발 KA4 9인승 (D)	2020-12-01 9:00	2020-12-02 20:00	직접	109767520	3,000	2020-11-30
취소	2022550328	스파크 (G)	2020-12-01 9:00	2020-12-03 9:00	모바일	113043695	3,000	2020-11-26
