예약경로	예약경로명	계약번호	고객구분	고객구분명	총 청구액(VAT포함)	예약모델	예약모델명	차급	대여일	대여시간	반납일	반납시간	대여기간(일)	대여기간(시간)	CDW요금	할인유형	할인유형명	적용할인명	적용할인율(%)	회원등급	구매목적	생성일	차종
13	모바일	2022487792	2	개인	184800	1KSR925	쏘렌토 MQ4 7인승 4WD (D)	SUV/RV	2020-11-26	9:00:00	2020-11-28	17:28:00	2	9	0	KA03	이벤트할인	롯데카드	70.00	일반회원	단기	2020-10-26	SORENTO MQ4 (D) 2.2 프레스티지 7인승 4WD
13	모바일	2022487862	2	개인	165740	1KMO100	올 뉴 모닝 (G)	1.0급	2020-11-25	17:00:00	2020-11-29	14:23:00	3	22	35500	KA02	회원할인	골드회원	63.00	골드회원	단기	2020-10-26	ALL NEW MORNING (G) 1.0 럭셔리
11	홈페이지	2022487886	2	개인	191410	1KSU100	쏘울 부스터 (G)	SUV/RV	2020-12-01	14:30:00	2020-12-04	19:50:00	3	6	71400	KA02	회원할인	골드회원	73.00	골드회원	단기	2020-10-26	SOUL BOOSTER (G) 1.6 노블레스
13	모바일	2022487993	2	개인	504300	1KK9021	THE K9 3.8 (G)	3.0급(고급)	2020-12-06	16:00:00	2020-12-09	15:13:00	3	0	149300	KA02	회원할인	일반회원	70.00	일반회원	단기	2020-10-26	THE K9 (G) 3.8 플래티넘 베스트셀렉션Ⅰ
13	모바일	2022488092	2	개인	147000	1TIV302	베리 뉴 티볼리 (G)	SUV/RV	2020-11-27	20:00:00	2020-11-30	6:17:00	2	11	0	KA02	회원할인	일반회원	65.00	일반회원	단기	2020-10-27	VERY NEW TIVOLI (G) 1.5 V7
11	홈페이지	2022488145	2	개인	154080	1KMO300	모닝 어반 (G)	1.0급	2020-11-28	8:00:00	2020-12-01	19:44:00	3	12	35500	KA02	회원할인	골드회원	63.00	골드회원	단기	2020-10-27	MORNING URBAN (G) 1.0 프레스티지
13	모바일	2022488176	2	개인	280150	1KSR925	쏘렌토 MQ4 7인승 4WD (D)	SUV/RV	2020-11-28	13:00:00	2020-11-30	15:51:00	2	3	93600	KA02	회원할인	일반회원	65.00	일반회원	단기	2020-10-27	SORENTO MQ4 (D) 2.2 프레스티지 7인승 4WD
11	홈페이지	2022488224	2	개인	397000	1HNG001	더 뉴 그랜저 2.5 (G)	2.4급	2020-12-05	8:30:00	2020-12-09	11:44:00	4	4	108000	KA02	회원할인	일반회원	70.00	일반회원	단기	2020-10-27	THE NEW GRANDEUR (G) 2.5 프리미엄
11	홈페이지	2022488225	2	개인	216350	1KK5101	THE NEW K5 (G)	2.0급	2020-11-27	10:30:00	2020-11-29	16:40:00	2	7	64800	KA02	회원할인	일반회원	65.00	일반회원	단기	2020-10-27	THE NEW K5 (G) 2.0 프레스티지
12	제휴사	2022488262	2	개인	164350	1HBB101	더 올 뉴 벨로스터 (G)	1.6급	2020-11-25	13:00:00	2020-11-28	17:51:00	3	5	57600	KA03	이벤트할인	롯데그룹 임직원	70.00	일반회원	단기	2020-10-27	THE ALL-NEW VELOSTER (G) 1.4 MODERN
10	직접	2022488376	2	개인	351000	1HDN001	쏘나타 DN8 (G)	2.0급	2020-11-29	12:30:00	2020-12-02	13:31:00	3	2	86400	KA02	회원할인	일반회원	60.00	일반회원	단기	2020-10-27	SONATA DN8 (G) 2.0 프리미엄
12	제휴사	2022488444	2	개인	900000	1BWX701	BMW X7 3.0 (D)	외산	2020-11-27	15:30:00	2020-11-30	9:44:00	2	19	0	KA03	이벤트할인	[제주] BMW럭셔리클래스전용	70.00	비회원	단기	2020-10-27	BMW X7(D)3.0 XDRIVE 30D 7SEATER
13	모바일	2022488563	2	개인	213300	1KK5201	INTERACTIVE K5 (G)	2.0급	2020-12-10	9:00:00	2020-12-12	13:58:00	2	5	82800	KA02	회원할인	일반회원	70.00	일반회원	단기	2020-10-27	INTERACTIVE K5 (G) 2.0 프레스티지
10	직접	2022488621	2	개인	337800	1KK5201	INTERACTIVE K5 (G)	2.0급	2020-12-10	12:00:00	2020-12-13	9:16:00	2	22	82800	KA02	회원할인	일반회원	70.00	일반회원	단기	2020-10-27	INTERACTIVE K5 (G) 2.0 프레스티지
12	제휴사	2022488692	2	개인	348800	1HGN701	G70 2.0 터보 (G)	2.0급	2020-11-30	9:00:00	2020-12-04	6:50:00	3	22	124800	KA03	이벤트할인	KT멤버십	75.00	비회원	단기	2020-10-27	GENESIS G70 (G) 2.0 T ELITE
11	홈페이지	2022488856	2	개인	195300	1KK5201	INTERACTIVE K5 (G)	2.0급	2020-12-11	15:00:00	2020-12-13	18:09:00	2	4	64800	KA02	회원할인	일반회원	70.00	일반회원	단기	2020-10-27	INTERACTIVE K5 (G) 2.0 프레스티지
10	직접	2022488909	2	개인	458600	1KCN603	더 뉴 카니발 하이리무진 7인승 (D)	SUV/RV	2020-12-04	16:30:00	2020-12-07	9:32:00	2	18	115400	KA02	회원할인	골드회원	73.00	골드회원	단기	2020-10-27	THE NEW CARNIVAL (D) 2.2 하이리무진 VIP 7인승
12	제휴사	2022488919	2	개인	151200	1HBB101	더 올 뉴 벨로스터 (G)	1.6급	2020-11-25	20:00:00	2020-11-28	14:08:00	2	19	43200	KA03	이벤트할인	KT멤버십	70.00	일반회원	단기	2020-10-27	THE ALL-NEW VELOSTER (G) 1.4 MODERN
11	홈페이지	2022488947	2	개인	327800	1HGN811	All New G80 2.5 (G)	2.7급	2020-12-02	8:40:00	2020-12-04	16:31:00	2	8	117800	KA02	회원할인	일반회원	75.00	일반회원	단기	2020-10-27	THE ALL NEW GENESIS G80 (G) 2.5T
13	모바일	2022488969	2	개인	122000	1KLY005	더 뉴 레이 (G)	1.0급	2020-11-27	17:00:00	2020-11-30	17:58:00	3	1	0	KA02	회원할인	일반회원	60.00	일반회원	단기	2020-10-27	THE NEW RAY (G) 1.0 럭셔리
10	직접	2022488970	2	개인	133050	1KLY005	더 뉴 레이 (G)	1.0급	2020-11-26	14:00:00	2020-11-29	14:01:00	3	1	31200	KA03	이벤트할인	롯데카드	60.00	비회원	단기	2020-10-27	THE NEW RAY (G) 1.0 럭셔리
21	카드사	2022489045	2	개인	155430	1KCN603	더 뉴 카니발 하이리무진 7인승 (D)	SUV/RV	2020-11-23	9:30:00	2020-11-25	15:24:00	2	6	0	KA01	업체할인	비씨카드(주)	67.00	일반회원	단기	2020-10-27	THE NEW CARNIVAL (D) 2.2 하이리무진 VIP 7인승
13	모바일	2022489069	2	개인	127620	1HLN002	LF 쏘나타 뉴라이즈 (G)	2.0급	2020-12-06	14:00:00	2020-12-07	16:01:00	1	3	48000	KA02	회원할인	골드회원	73.00	골드회원	단기	2020-10-27	LF SONATA NEWRISE (G) 2.0 SMART CHOICE
