seasonality,lead_time_vec,discount,util_add,util_rate_add
1,-36,62.97527910685806,1.0098351940457202,0.011586521687065452
1,-35,67.10583941605839,1.0604217356042174,0.012542085891237127
1,-34,66.67265469061877,1.091816367265469,0.0127674380749877
1,-33,70.98695652173913,1.0499999999999998,0.012127813656441607
1,-32,69.19318181818181,1.0860389610389611,0.012532993902657729
1,-31,69.1501614205004,1.1800511164917942,0.013624090781385632
1,-30,69.42517006802721,1.1528722600151171,0.013576842384486334
1,-29,70.9658056580566,1.2229055623889573,0.014601849688428866
1,-28,71.83355225021893,1.4142040058706722,0.016837758082621477
1,-27,72.02646111443181,1.649581589958159,0.01911825228166773
1,-26,72.25376447876445,1.6185113685113686,0.0188840841289704
1,-25,72.53512149715853,1.595564700502972,0.018599342831411757
1,-24,72.28081257264137,1.5639321227842626,0.018251254845127556
1,-23,72.47074340527575,1.6139088729016786,0.018834256074460588
1,-22,72.16688374536805,1.6909601238869532,0.019745802447299544
1,-21,72.45224043715847,1.7780054644808743,0.02114732816647228
1,-20,72.34755247381429,1.93515597616544,0.022869616543775628
1,-19,72.3531979996052,1.953260146373919,0.023161755442928006
1,-18,71.74311346548187,1.8987573099415205,0.02246595251245143
1,-17,72.49041141150515,1.9775094696969695,0.023645977430014606
1,-16,72.53000661189513,2.0313057040998217,0.024324995623994455
1,-15,73.15494505192588,2.140216767154752,0.02535995323240984
1,-14,72.92900401914048,2.4954507857733668,0.029420189549908295
1,-13,73.4471515717062,2.6835576669305876,0.03138582104870576
1,-12,73.37027266236265,2.7315032679738556,0.03196267246865526
1,-11,73.13309720536121,2.6861437908496733,0.031531477499746594
1,-10,73.41768787719826,2.8232558139534882,0.03380373363238609
1,-9,73.49494976641714,2.89308574879227,0.034808117926276076
1,-8,73.85833426222896,3.3597719298245616,0.0403180537090482
1,-7,73.49641771432434,4.037741184298071,0.048466644087915414
1,-6,73.47606148605361,4.812582958681222,0.05781201234678709
1,-5,73.83280737308276,5.157697649572648,0.061795379440840896
1,-4,73.76017344729966,5.68306142034549,0.0681599360701123
1,-3,74.09646165821302,6.425519848771265,0.07908655987675281
