seasonality,lead_time_vec,discount,util_add,util_rate_add
1,-36,69.85714285714286,1.0,0.010526315789473687
1,-35,66.17857142857143,1.1964285714285714,0.012593984962406017
1,-34,69.57142857142857,1.0714285714285714,0.011278195488721807
1,-33,72.66666666666667,1.0,0.010526315789473687
1,-32,67.10714285714286,1.226190476190476,0.012934444545097684
1,-31,64.16949152542372,1.2994350282485874,0.013678263455248288
1,-30,62.5514705882353,1.1605392156862744,0.01221620227038184
1,-29,63.96035598705501,1.464401294498382,0.016239492274854994
1,-28,65.7949530516432,1.557511737089202,0.01710026303745884
1,-27,66.035,2.5066666666666664,0.02650771507080956
1,-26,64.68271604938272,2.740740740740741,0.03205250560989306
1,-25,65.3970238095238,2.6696428571428577,0.031135375404557398
1,-24,63.42619825708061,2.85,0.032933072000922346
1,-23,63.81304713804713,2.6717171717171713,0.028429507503699
1,-22,60.87202380952381,2.7142857142857144,0.028843192318144754
1,-21,61.569191919191915,2.3863636363636362,0.028154986190957826
1,-20,61.834310850439884,2.78494623655914,0.0325464227646812
1,-19,62.84681372549019,2.75,0.02957402364877466
1,-18,62.11843537414965,2.34047619047619,0.025267083371078292
1,-17,62.25198412698412,2.780555555555556,0.03255718247791805
1,-16,63.19464925755248,2.8781362007168463,0.03597308408403384
1,-15,64.50618230975374,3.295238095238095,0.04214193753825969
1,-14,63.31610991347832,3.7836700336700337,0.05435639421054769
1,-13,65.32043692043693,3.75,0.051076593974501414
1,-12,65.25059243637548,3.3685636856368566,0.061391213900609656
1,-11,65.18799563010087,2.9893162393162394,0.06483426036374676
1,-10,67.04536525974025,3.142361111111111,0.0699978942884777
1,-9,66.26144608315663,3.8662280701754392,0.08273079727623668
1,-8,68.8303976991477,4.5675675675675675,0.10024351901333514
1,-7,68.79002222848376,5.115740740740741,0.12394547313697594
1,-6,68.14298265858822,4.7936507936507935,0.12378289645252225
1,-5,68.23940079365079,3.7722222222222217,0.09062207362143951
1,-4,66.94075837742504,3.8950617283950617,0.08312700740940018
1,-3,67.6462777121868,4.827020202020202,0.10160119963688306
1,-2,66.77216931216931,5.157407407407407,0.11038858860672429
1,-1,65.89278411131353,4.673076923076923,0.09804476155141979
1,0,65.24908632091889,3.36698717948718,0.08525498756158237
2,-36,73.36363636363636,1.0,0.010526315789473687
2,-35,66.07142857142857,1.126984126984127,0.011862990810359231
2,-34,71.11111111111111,1.1111111111111112,0.011865003875149722
2,-33,69.3,1.0,0.010526315789473686
2,-32,67.875,0.9583333333333334,0.010087719298245614
2,-31,70.40625,1.3125,0.013910906785034878
2,-30,73.05555555555556,1.0,0.010526315789473687
2,-29,72.2463768115942,1.551328502415459,0.016495195120681046
2,-28,70.64166666666667,1.746527777777778,0.018547561172006323
2,-27,72.2,1.55,0.016772352568167413
2,-26,74.53846153846153,1.2948717948717952,0.014098499260198691
2,-25,72.66666666666667,1.6666666666666667,0.018051151976326358
2,-24,74.40476190476191,1.6746031746031744,0.01849704582741996
2,-23,71.92307692307692,1.9166666666666665,0.0211119782774824
2,-22,74.08928571428571,2.136904761904762,0.02390690581876378
2,-21,71.61538461538461,1.75,0.01935759231257012
2,-20,72.44047619047619,2.0714285714285716,0.02300027176374672
2,-19,74.91666666666667,2.2277777777777774,0.025115902205312474
2,-18,74.00555555555556,1.964814814814815,0.022387327086122264
2,-17,73.99523809523811,2.2222222222222223,0.02449094624110477
2,-16,73.39444444444443,2.2268518518518516,0.024624227905775148
2,-15,74.10526315789474,2.1973684210526314,0.024571972098922003
2,-14,73.28703703703702,2.2222222222222223,0.024660043683505953
2,-13,75.02931547619048,2.5,0.027837666455294865
2,-12,75.31481481481482,2.6080246913580245,0.029498500825915746
2,-11,75.25797829621358,4.76470588235294,0.05319109254354881
2,-10,74.09815592903828,5.397058823529412,0.059854899474057206
2,-9,72.37684523809523,5.158333333333333,0.05748784612132742
2,-8,72.38657114127703,5.854575163398692,0.06600623339591595
2,-7,72.1574435439525,6.099673202614379,0.06843700913043298
2,-6,72.67015133412983,6.263888888888889,0.07020538293524978
2,-5,74.08272100706311,7.209876543209877,0.08010208475226442
2,-4,73.6305418192918,7.230555555555556,0.08030261396463047
2,-3,72.815664160401,5.669590643274853,0.06229423696633256
2,-2,73.92091972355131,3.7453216374269007,0.04144648770520679
2,-1,73.4733709273183,4.235515873015873,0.046954761401495695
2,0,70.30555555555556,2.5305555555555554,0.02880704102961554
3,-36,70.0,1.0,0.010526315789473684
3,-35,65.0,1.0,0.010526315789473684
3,-34,70.0,1.0,0.010526315789473684
3,-33,75.0,1.0,0.010526315789473684
3,-32,72.0,1.0,0.010526315789473684
3,-31,70.0,1.0,0.010526315789473684
3,-30,70.0,1.0,0.010526315789473684
3,-29,71.66666666666667,1.0,0.010526315789473684
3,-28,80.41666666666667,1.1666666666666667,0.012280701754385963
3,-27,75.75,1.5,0.015789473684210527
3,-26,75.0,1.0,0.010526315789473684
3,-25,65.0,2.0,0.021052631578947368
3,-24,65.0,1.5,0.015789473684210527
3,-23,80.0,1.0,0.010526315789473684
3,-22,80.0,1.0,0.010526315789473684
3,-19,75.0,1.0,0.010526315789473684
3,-18,50.0,1.0,0.010526315789473684
3,-17,65.0,2.0,0.021052631578947368
3,-16,78.33333333333334,3.0,0.031578947368421054
3,-15,77.14285714285714,4.0,0.042105263157894736
3,-14,76.66666666666667,3.0,0.031578947368421054
3,-13,82.5,1.0,0.010526315789473684
3,-12,77.25,4.0,0.042105263157894736
3,-11,61.5,1.0,0.010526315789473684
3,-10,53.0,1.0,0.010526315789473684
