seasonality,lead_time_vec,cnt_cum,disc_mean
1,-36,0.03800766283524904,72.06666666666666
1,-35,0.045068027210884355,71.96428571428571
1,-34,0.041666666666666664,74.28571428571429
1,-33,0.05056174920058767,73.8157894736842
1,-32,0.044656725691208474,72.16216216216216
1,-31,0.05817455153824707,72.72955974842768
1,-30,0.06085519016553498,72.75000000000001
1,-29,0.07540450158196162,73.1719512195122
1,-28,0.07970406311344852,73.40302040816326
1,-27,0.09352448317965563,72.77606837606837
1,-26,0.10586628208452167,71.84107142857144
1,-25,0.10416577425572929,72.47735507246377
1,-24,0.10793724487642527,74.50456810631229
1,-23,0.11837484035759899,73.33137210012211
1,-22,0.11979773100462753,74.21761363636364
1,-21,0.11644920239652864,74.94485049833887
1,-20,0.11086364112776437,75.29245187436678
1,-19,0.12966569170771758,74.17712053571431
1,-18,0.13139460055975477,73.05489010989012
1,-17,0.13868059356565107,72.5429379776602
1,-16,0.14921455938697317,74.31051587301587
1,-15,0.14701063002333414,73.51255102040817
1,-14,0.1388924898453028,74.22559373496873
1,-13,0.16719585994767464,73.76819083694085
1,-12,0.16231737749546268,74.69661706349207
1,-11,0.16115197529797237,74.81212967416674
1,-10,0.18325233479884584,75.62858946608947
1,-9,0.17843769345954605,75.24207159054097
1,-8,0.1838603254763595,74.95343685300209
1,-7,0.19891356744351302,74.4127286088397
1,-6,0.19951868837984998,75.97500515625515
1,-5,0.20717617546588807,75.59487829422041
1,-4,0.22807133785259692,74.94617669529951
1,-3,0.2336747305114914,75.14310029609109
1,-2,0.25632923740909225,75.07952731191365
1,-1,0.2835370844838594,75.04777284397058
1,0,0.30885804412509105,75.59255700038665
2,-36,0.03362068965517241,69.5
2,-34,0.0375,65.0
2,-33,0.039573070607553364,70.0625
2,-32,0.04007936507936507,68.5
2,-31,0.056173273907264065,69.76190476190476
2,-30,0.049939316056257586,72.28985507246377
2,-29,0.07876447876447878,71.08108108108108
2,-28,0.08478536242083037,70.16880952380954
2,-27,0.08609986504723348,71.37179487179488
2,-26,0.08692564745196324,68.30555555555556
2,-25,0.09166666666666666,70.35416666666667
2,-24,0.13537414965986397,70.7202380952381
2,-23,0.10537280701754385,69.51860119047619
2,-22,0.10157289776164548,66.02380952380953
2,-21,0.10512820512820513,68.11538461538461
2,-20,0.11325944170771758,70.57261904761906
2,-19,0.13819226750261235,72.01309523809525
2,-18,0.1421027541043934,70.21897081413209
2,-17,0.13194417077175705,69.54714285714286
2,-16,0.16928571428571432,68.28035714285714
2,-15,0.1817460317460318,71.58055555555555
2,-14,0.19015492253873068,68.69430641821945
2,-13,0.143376026272578,70.47138095238094
2,-12,0.16923918992884512,71.86412037037037
2,-11,0.19811180746157908,68.99629173508482
2,-10,0.17837279516923568,70.07759973001909
2,-9,0.193537987104009,70.7308362369338
2,-8,0.18864739974937342,72.04444444444444
2,-7,0.20000000000000004,69.47294672919672
2,-6,0.1935387787833658,70.20332393704486
2,-5,0.24806312864389082,71.28047289249211
2,-4,0.24440558129220247,69.56317827874433
2,-3,0.2674331717888887,71.25804865540442
2,-2,0.26674258476154705,70.42837263311404
2,-1,0.2828286549004977,71.53571365964659
2,0,0.2878162840050318,70.59250771015479
3,-36,0.042385057471264365,56.875
3,-35,0.05,70.0
3,-34,0.05277777777777778,52.083333333333336
3,-33,0.03888888888888889,30.0
3,-32,0.059482758620689656,62.666666666666664
3,-31,0.05938697318007662,46.81481481481482
3,-30,0.05919540229885057,61.979166666666664
3,-29,0.11507515473032716,59.74615384615385
3,-28,0.09796640141467727,59.28846153846153
3,-27,0.12337164750957856,53.03333333333333
3,-26,0.0942528735632184,66.08333333333334
3,-25,0.12318007662835247,50.541666666666664
3,-24,0.13524904214559386,50.61666666666667
3,-23,0.10714285714285714,56.726190476190474
3,-22,0.14339080459770118,62.2904761904762
3,-21,0.20666666666666664,60.07619047619047
3,-20,0.15854885057471263,56.476934523809526
3,-19,0.1431992337164751,61.63888888888889
3,-18,0.2567528735632184,55.888888888888886
3,-17,0.1290948275862069,60.429166666666674
3,-16,0.15785440613026822,46.166666666666664
3,-15,0.13499361430395912,57.29415954415955
3,-14,0.14448275862068966,48.239999999999995
3,-13,0.10833333333333332,62.767857142857146
3,-12,0.16928480204342278,61.55432098765433
3,-11,0.16343943412908932,57.17692307692308
3,-10,0.16564039408866998,51.87057823129252
3,-9,0.1906609195402299,59.14351851851851
3,-8,0.1845785440613027,59.922751322751324
3,-7,0.20095785440613026,58.75376984126984
3,-6,0.23015325670498085,53.245754985754985
3,-5,0.19148706896551726,58.837723214285724
3,-4,0.18864097363083165,56.826744334097285
3,-3,0.20892316999395036,56.07543859649123
3,-2,0.24561403508771926,56.375829725829725
3,-1,0.24007024265644958,57.25997474747474
3,0,0.22977011494252872,54.43185185185185
4,-36,0.03333333333333333,33.75
4,-35,0.03333333333333333,30.2
4,-34,0.05185185185185185,29.925925925925924
4,-33,0.04722222222222222,25.0
4,-32,0.06666666666666667,43.59523809523809
4,-31,0.0622105263157895,31.319333333333333
4,-30,0.07656641604010027,36.10416666666667
4,-29,0.09234234234234236,38.58256113256114
4,-28,0.12348288754673568,32.35854800936769
4,-27,0.13678728070175442,37.84903273809523
4,-26,0.19963065558633425,27.153508771929822
4,-25,0.16258771929824564,33.947698412698415
4,-24,0.18173374613003096,24.616176470588236
4,-23,0.16332236842105263,38.20080128205128
4,-22,0.17592592592592596,35.62433862433863
4,-21,0.2023809523809524,39.06496598639456
4,-20,0.21713900134952768,27.05545843045843
4,-19,0.18020833333333333,35.50138888888889
4,-18,0.16328947368421054,31.9565873015873
4,-17,0.21851851851851853,37.363536155202816
4,-16,0.20578947368421052,34.094880952380954
4,-15,0.19573099415204678,40.038888888888884
4,-14,0.1851754385964912,39.61333333333333
4,-13,0.2316666666666667,29.125692640692638
4,-12,0.24615384615384617,32.059432234432236
4,-11,0.18327067669172936,36.4969696969697
4,-10,0.2257309941520468,35.13092833092833
4,-9,0.2043859649122807,38.09845478595478
4,-8,0.19242424242424241,39.2
4,-7,0.23815789473684212,42.27414021164021
4,-6,0.2317738791423002,44.15544332210998
4,-5,0.2424812030075188,34.13350340136055
4,-4,0.27354570637119113,39.876670843776104
4,-3,0.2841228070175438,43.252150072150066
4,-2,0.31692466460268315,39.37891308038367
4,-1,0.3053884711779449,39.29654366797224
4,0,0.3486443381180223,39.21394274917002
