예약경로	예약경로명	계약번호	고객구분	고객구분명	총 청구액(VAT포함)	예약모델	예약모델명	차급	대여일	대여시간	반납일	반납시간	대여기간(일)	대여기간(시간)	CDW요금	할인유형	할인유형명	적용할인명	적용할인율(%)	회원등급	구매목적	생성일	차종
13	모바일	2022236228	2	개인	103900	1HDN001	쏘나타 DN8 (G)		2020-12-24	8:00:00	2020-12-25	8:00:00	1	0	24000	KA02	회원할인	골드회원	53.00	골드회원	단기	2020-06-18	
10	직접	2022410416	2	개인	236500	1HAV151	올 뉴 아반떼 (G)		2020-12-14	14:00:00	2020-12-19	14:00:00	5	0	111500	KA04	쿠폰할인	P2014059140901	80.00	일반회원	단기	2020-09-14	
11	홈페이지	2022412264	2	개인	328600	1RXM300	XM3 1.4 (G)		2020-12-14	15:00:00	2020-12-18	20:00:00	4	5	89200	KA02	회원할인	일반회원	65.00	일반회원	단기	2020-09-15	
12	제휴사	2022416254	1	법인	156800	1HGN701	G70 2.0 터보 (G)		2020-12-16	14:00:00	2020-12-18	14:00:00	2	0	67200	KA01	업체할인	해비치호텔앤드리조트 주식회사	80.00		단기	2020-09-17	
13	모바일	2022418018	2	개인	561200	1TSM301	TESLA MODEL 3 (EV)		2020-12-25	14:00:00	2020-12-29	14:00:00	4	0	99200	KA02	회원할인	일반회원	65.00	일반회원	단기	2020-09-18	
26	해외제휴사	2022418664	1	법인	182400	1KMO100	올 뉴 모닝 (G)		2020-12-15	13:00:00	2020-12-19	13:00:00	4	0	38400	KA01	업체할인	Hertz	0.00		단기	2020-09-18	
13	모바일	2022420079	2	개인	158400	1KK3010	ALL NEW K3 (G)		2020-12-17	8:00:00	2020-12-20	7:00:00	2	23	43200	KA02	회원할인	골드회원	68.00	골드회원	단기	2020-09-19	
11	홈페이지	2022421255	2	개인	394250	1KSR925	쏘렌토 MQ4 7인승 4WD (D)		2020-12-22	11:00:00	2020-12-26	14:00:00	4	3	156000	KA02	회원할인	일반회원	75.00	일반회원	단기	2020-09-20	
13	모바일	2022421784	2	개인	319850	1KK5201	INTERACTIVE K5 (G)		2020-12-20	12:00:00	2020-12-25	18:00:00	5	6	86400	KA02	회원할인	일반회원	65.00	일반회원	단기	2020-09-21	
10	직접	2022421840	2	개인	48100	1STE002	스팅어 2.0 터보 (G)		2020-12-30	14:00:00	2021-01-03	14:00:00	4	0	35500	KA03	이벤트할인	롯데그룹 임직원	80.00	골드회원	단기	2020-09-21	
11	홈페이지	2022422166	2	개인	303000	1HCO001	코나 (G)		2020-12-20	13:00:00	2020-12-26	15:00:00	6	2	0	KA02	회원할인	일반회원	65.00	일반회원	단기	2020-09-21	
21	카드사	2022422363	2	개인	177840	1HNG001	더 뉴 그랜저 2.5 (G)		2020-12-18	19:00:00	2020-12-21	19:00:00	3	0	0	KA01	업체할인	비씨카드(주)	62.00	비회원	단기	2020-09-21	
11	홈페이지	2022422396	2	개인	252260	1HCO001	코나 (G)		2020-12-20	10:30:00	2020-12-23	15:30:00	3	5	97900	KA02	회원할인	골드회원	68.00	골드회원	단기	2020-09-21	
26	해외제휴사	2022422626	1	법인	240000	1HLN002	LF 쏘나타 뉴라이즈 (G)		2020-12-20	11:00:00	2020-12-23	11:00:00	3	0	72000	KA01	업체할인	Hertz	0.00		단기	2020-09-21	
12	제휴사	2022424679	2	개인	540000	1BWX701	BMW X7 3.0 (D)		2020-12-19	14:00:00	2020-12-22	14:00:00	3	0	0	KA03	이벤트할인	[제주] BMW럭셔리클래스전용	70.00	비회원	단기	2020-09-22	
11	홈페이지	2022424943	2	개인	122900	1KLY005	더 뉴 레이 (G)		2020-12-16	10:00:00	2020-12-18	17:00:00	2	7	31200	KA02	회원할인	일반회원	65.00	일반회원	단기	2020-09-22	
10	직접	2022425646	2	개인	250150	1HGN701	G70 2.0 터보 (G)		2020-12-21	15:00:00	2020-12-27	19:00:00	6	4	48200	KA02	회원할인	일반회원	65.00	일반회원	단기	2020-09-22	
11	홈페이지	2022425912	2	개인	132900	1KST110	셀토스 4WD (D)		2020-12-21	8:00:00	2020-12-22	19:00:00	1	11	38400	KA02	회원할인	일반회원	65.00	일반회원	단기	2020-09-22	
13	모바일	2022425987	2	개인	419200	1HCO001	코나 (G)		2020-12-21	11:00:00	2020-12-26	16:30:00	5	6	146900	KA02	회원할인	일반회원	65.00	일반회원	단기	2020-09-22	
13	모바일	2022427882	2	개인	70520	1KMO300	모닝 어반 (G)		2020-12-20	14:00:00	2020-12-22	14:00:00	2	0	19200	KA02	회원할인	골드회원	68.00	골드회원	단기	2020-09-23	
13	모바일	2022427945	2	개인	158700	1CSP100	스파크 (G)		2020-12-23	12:30:00	2020-12-27	12:30:00	4	0	35500	KA02	회원할인	일반회원	65.00	일반회원	단기	2020-09-24	
10	직접	2022428119	2	개인	414500	1KNI002	니로 (EV)		2020-12-20	10:00:00	2020-12-24	17:00:00	4	7	174800	KA03	이벤트할인	롯데카드	70.00	일반회원	단기	2020-09-24	
10	직접	2022428131	2	개인	93600	1HGN701	G70 2.0 터보 (G)		2020-12-21	12:30:00	2020-12-24	11:00:00	2	23	93600	KA03	이벤트할인	장기거래처_Biz골드	70.00	일반회원	단기	2020-09-24	
12	제휴사	2022428769	1	법인	156800	1HGN701	G70 2.0 터보 (G)		2020-12-20	14:00:00	2020-12-22	14:00:00	2	0	67200	KA01	업체할인	해비치호텔앤드리조트 주식회사	80.00		단기	2020-09-24	
11	홈페이지	2022428821	2	개인	268050	1KCN600	더 뉴 카니발 9인승 (D)		2020-12-18	11:00:00	2020-12-20	15:00:00	2	4	71000	KA02	회원할인	일반회원	65.00	일반회원	단기	2020-09-24	
12	제휴사	2022429510	2	개인	215700	1KSU100	쏘울 부스터 (G)		2020-12-20	13:00:00	2020-12-23	20:00:00	3	7	71400	KA03	이벤트할인	롯데면세점	70.00	비회원	단기	2020-09-24	
11	홈페이지	2022429692	2	개인	113280	1HAV151	올 뉴 아반떼 (G)		2020-12-24	8:30:00	2020-12-25	20:00:00	1	12	38400	KA02	회원할인	골드회원	68.00	골드회원	단기	2020-09-25	
11	홈페이지	2022429762	2	개인	306550	1HDN001	쏘나타 DN8 (G)		2020-12-24	10:50:00	2020-12-27	17:30:00	3	7	86400	KA02	회원할인	일반회원	65.00	일반회원	단기	2020-09-25	
13	모바일	2022429774	2	개인	217200	1HAV140	아반떼 AD (G) F/L		2020-12-24	8:40:00	2020-12-27	18:40:00	3	10	57600	KA02	회원할인	일반회원	65.00	일반회원	단기	2020-09-25	
13	모바일	2022429783	2	개인	530900	1HGV007	GV80 4WD 7인승 (D)		2020-12-24	17:30:00	2020-12-27	12:00:00	2	19	146900	KA02	회원할인	골드회원	68.00	골드회원	단기	2020-09-25	
10	직접	2022429788	2	개인	648200	1HGN901	G90 3.8 (G)		2020-12-24	17:30:00	2020-12-27	12:00:00	2	19	177800	KA02	회원할인	골드회원	68.00	골드회원	단기	2020-09-25	
13	모바일	2022429834	2	개인	587900	1HGV007	GV80 4WD 7인승 (D)		2020-12-24	15:00:00	2020-12-27	15:00:00	3	0	146900	KA02	회원할인	일반회원	65.00	일반회원	단기	2020-09-25	
