예약경로	예약경로명	계약번호	고객구분	고객구분명	총 청구액(VAT포함)	예약모델	예약모델명	차급	대여일	대여시간	반납일	반납시간	대여기간(일)	대여기간(시간)	CDW요금	할인유형	할인유형명	적용할인명	적용할인율(%)	회원등급	구매목적	생성일	차종
13	모바일	2022236228	2	개인	103900	1HDN001	쏘나타 DN8 (G)		2020-12-24	8:00:00	2020-12-25	8:00:00	1	0	24000	KA02	회원할인	골드회원	53.00	골드회원	장기	2020-06-18	
12	제휴사	2022261878	2	개인	238800	1KLY005	더 뉴 레이 (G)	1.0급	2020-12-06	13:00:00	2020-12-12	11:25:00	5	23	0	KA02	회원할인	비회원	60.00	비회원	단기	2020-07-01	THE NEW RAY (G) 1.0 럭셔리
13	모바일	2022349833	2	개인	133000	1KMO100	올 뉴 모닝 (G)		2021-02-21	10:00:00	2021-02-24	17:00:00	3	7	35500	KA02	회원할인	일반회원	70.00	일반회원	장기	2020-08-10	
11	홈페이지	2022361592	2	개인	236040	1HGN801	제네시스 G80 3.3 (G)		2021-01-22	12:00:00	2021-01-24	13:00:00	2	1	99800	KA02	회원할인	골드회원	78.00	골드회원	장기	2020-08-15	
10	직접	2022392636	2	개인	50000	1HAV151	올 뉴 아반떼 (G)		2020-12-30	10:00:00	2020-12-31	10:00:00	1	0	24000	KA04	쿠폰할인	P2013957230701	80.00	일반회원	장기	2020-09-03	
11	홈페이지	2022396039	2	개인	308050	1KCN601	더 뉴 카니발 11인승 (D)	승합	2020-12-04	10:30:00	2020-12-06	15:59:00	2	6	71000	KA02	회원할인	일반회원	65.00	일반회원	단기	2020-09-05	THE NEW CARNIVAL (D) 2.2 디럭스 11인승
13	모바일	2022396935	2	개인	197500	1KST110	셀토스 4WD (D)	SUV/RV	2020-12-01	14:00:00	2020-12-04	13:30:00	3	0	53500	KA02	회원할인	골드회원	68.00	골드회원	단기	2020-09-06	SELTOS (D) 1.6 프레스티지 4WD
13	모바일	2022398317	2	개인	521850	1KK5201	INTERACTIVE K5 (G)	2.0급	2020-12-06	9:30:00	2020-12-12	16:00:00	6	7	123200	KA02	회원할인	일반회원	65.00	일반회원	단기	2020-09-07	INTERACTIVE K5 (G) 2.0 프레스티지
11	홈페이지	2022399539	2	개인	116000	1KK3010	ALL NEW K3 (G)	1.6급	2020-12-04	17:30:00	2020-12-06	17:07:00	2	0	32000	KA02	회원할인	일반회원	65.00	일반회원	단기	2020-09-07	K3 SMARTSTREAM (G) 1.6 럭셔리
12	제휴사	2022399765	2	개인	243900	1KK7405	K7 PREMIER (G) 2.5	2.7급	2020-12-04	14:00:00	2020-12-06	14:45:00	2	1	93600	KA03	이벤트할인	롯데면세점	70.00	일반회원	단기	2020-09-08	K7 PREMIER (G) 2.5 프레스티지
11	홈페이지	2022399945	2	개인	236480	1KK3010	ALL NEW K3 (G)	1.6급	2020-12-06	16:00:00	2020-12-10	18:15:00	4	3	72000	KA02	회원할인	골드회원	68.00	골드회원	단기	2020-09-08	K3 SMARTSTREAM (G) 1.6 럭셔리
12	제휴사	2022399998	2	개인	204980	1KSU100	쏘울 부스터 (G)	SUV/RV	2020-12-07	8:00:00	2020-12-10	10:57:00	3	3	71400	KA03	이벤트할인	BC카드	72.00	일반회원	단기	2020-09-08	SOUL BOOSTER (G) 1.6 노블레스
13	모바일	2022400944	2	개인	433400	1HGN701	G70 2.0 터보 (G)	2.0급	2020-12-07	12:00:00	2020-12-11	11:43:00	4	0	124800	KA02	회원할인	일반회원	65.00	일반회원	단기	2020-09-08	GENESIS G70 (G) 2.0 T ELITE
10	직접	2022402011	2	개인	147200	1HDN001	쏘나타 DN8 (G)	2.0급	2020-12-01	13:00:00	2020-12-03	14:17:00	2	2	64800	KA03	이벤트할인	롯데제이티비(동양생명전용)	80.00	비회원	단기	2020-09-09	SONATA DN8 (G) 2.0 프리미엄
10	직접	2022402017	2	개인	147200	1HDN001	쏘나타 DN8 (G)	2.0급	2020-12-01	13:00:00	2020-12-03	14:33:00	2	2	64800	KA03	이벤트할인	롯데제이티비(동양생명전용)	80.00	비회원	단기	2020-09-09	SONATA DN8 (G) 2.0 프리미엄
10	직접	2022402018	2	개인	142400	1HDN001	쏘나타 DN8 (G)	2.0급	2020-12-01	13:00:00	2020-12-03	14:27:00	2	2	64800	KA03	이벤트할인	롯데제이티비(동양생명전용)	80.00	비회원	단기	2020-09-09	SONATA DN8 (G) 2.0 프리미엄
10	직접	2022402020	2	개인	147200	1HDN001	쏘나타 DN8 (G)	2.0급	2020-12-01	13:00:00	2020-12-03	16:00:00	2	3	64800	KA03	이벤트할인	롯데제이티비(동양생명전용)	80.00	비회원	단기	2020-09-09	SONATA DN8 (G) 2.0 프리미엄
