rent_day,res_model,res_day,seasonality,lead_time_vec,discount,lead_time_vec,lead_time
2020-12-17,soul,2020-12-14,2,-3,82.5,2,-3
2020-12-17,soul,2020-12-15,2,-2,80.0,2,-2
2020-12-17,soul,2020-12-16,2,-1,85.0,1,-1
2020-12-18,soul,2020-12-01,2,-17,73.0,1,-17
2020-12-18,soul,2020-12-07,2,-11,70.0,1,-11
2020-12-18,soul,2020-12-09,2,-9,70.0,1,-9
2020-12-18,soul,2020-12-14,2,-4,78.0,1,-4
2020-12-19,soul,2020-11-16,2,-28,60.0,1,-33
2020-12-19,soul,2020-11-26,2,-23,70.0,1,-23
2020-12-19,soul,2020-12-01,2,-18,75.0,1,-18
2020-12-19,soul,2020-12-07,2,-12,70.0,1,-12
2020-12-19,soul,2020-12-13,2,-6,76.5,2,-6
2020-12-19,soul,2020-12-14,2,-5,80.0,1,-5
2020-12-20,soul,2020-11-06,2,-30,65.0,1,-44
2020-12-20,soul,2020-11-14,2,-29,67.5,2,-36
2020-12-20,soul,2020-11-23,2,-27,70.0,1,-27
2020-12-20,soul,2020-12-01,2,-19,65.0,1,-19
2020-12-20,soul,2020-12-07,2,-13,66.5,2,-13
2020-12-20,soul,2020-12-09,2,-11,65.0,1,-11
2020-12-21,soul,2020-11-14,1,-29,70.0,1,-37
2020-12-22,soul,2020-11-17,1,-29,75.0,1,-35
2020-12-22,soul,2020-12-08,1,-14,60.0,1,-14
2020-12-23,soul,2020-10-23,3,-32,70.0,1,-61
2020-12-23,soul,2020-10-25,3,-32,70.0,1,-59
2020-12-23,soul,2020-10-31,3,-31,73.0,1,-53
2020-12-23,soul,2020-11-09,3,-30,70.0,1,-44
2020-12-23,soul,2020-12-02,3,-21,35.0,1,-21
2020-12-24,soul,2020-10-01,3,-36,65.0,1,-84
2020-12-24,soul,2020-11-08,3,-30,35.0,1,-46
2020-12-24,soul,2020-11-10,3,-30,48.0,1,-44
2020-12-24,soul,2020-11-13,3,-29,30.0,1,-41
2020-12-24,soul,2020-11-14,3,-29,30.0,1,-40
2020-12-24,soul,2020-11-16,3,-29,30.0,1,-38
2020-12-24,soul,2020-12-04,3,-20,15.0,1,-20
2020-12-25,soul,2020-10-15,3,-34,65.0,1,-71
2020-12-25,soul,2020-11-16,3,-29,30.0,1,-39
2020-12-26,soul,2020-10-18,2,-33,40.0,1,-69
2020-12-26,soul,2020-11-16,2,-29,65.0,1,-40
2020-12-26,soul,2020-11-17,2,-29,70.0,1,-39
2020-12-26,soul,2020-11-23,2,-28,65.0,1,-33
2020-12-26,soul,2020-11-24,2,-28,65.0,1,-32
2020-12-27,soul,2020-10-15,2,-34,68.0,1,-73
2020-12-27,soul,2020-11-10,2,-30,65.0,1,-47
2020-12-28,soul,2020-11-02,1,-32,0.0,1,-56
2020-12-28,soul,2020-11-05,1,-31,70.0,1,-53
2020-12-28,soul,2020-11-15,1,-30,70.0,1,-43
2020-12-28,soul,2020-11-23,1,-29,25.0,1,-35
2020-12-28,soul,2020-11-24,1,-28,70.0,1,-34
2020-12-28,soul,2020-11-29,1,-28,30.0,1,-29
2020-12-28,soul,2020-12-09,1,-19,30.0,1,-19
2020-12-29,soul,2020-10-27,1,-33,70.0,1,-63
2020-12-29,soul,2020-10-28,1,-32,65.0,1,-62
2020-12-29,soul,2020-11-03,1,-32,73.0,1,-56
