rent_day,res_model,res_day,seasonality,lead_time_vec,discount,lead_time_vec,lead_time
2020-12-07,k3,2020-10-08,1,-32,65.0,1,-60
2020-12-07,k3,2020-10-13,1,-31,75.0,1,-55
2020-12-07,k3,2020-10-15,1,-31,68.0,1,-53
2020-12-07,k3,2020-10-23,1,-30,65.0,1,-45
2020-12-07,k3,2020-10-27,1,-29,75.0,1,-41
2020-12-07,k3,2020-11-11,1,-26,70.0,1,-26
2020-12-07,k3,2020-11-13,1,-24,85.0,1,-24
2020-12-07,k3,2020-11-14,1,-23,70.0,1,-23
2020-12-07,k3,2020-11-16,1,-21,75.0,1,-21
2020-12-07,k3,2020-11-18,1,-19,70.0,1,-19
2020-12-07,k3,2020-11-19,1,-18,75.0,1,-18
2020-12-07,k3,2020-11-22,1,-15,75.0,1,-15
2020-12-07,k3,2020-11-23,1,-14,75.0,1,-14
2020-12-07,k3,2020-11-24,1,-13,70.0,1,-13
2020-12-07,k3,2020-11-25,1,-12,70.0,1,-12
2020-12-07,k3,2020-11-27,1,-10,70.0,1,-10
2020-12-07,k3,2020-11-28,1,-9,70.0,1,-9
2020-12-07,k3,2020-12-01,1,-6,70.0,1,-6
2020-12-07,k3,2020-12-02,1,-5,73.33333333333333,3,-5
2020-12-07,k3,2020-12-03,1,-4,73.0,1,-4
2020-12-07,k3,2020-12-04,1,-3,75.0,2,-3
2020-12-07,k3,2020-12-05,1,-2,77.5,2,-2
2020-12-07,k3,2020-12-06,1,-1,76.6,5,-1
2020-12-07,k3,2020-12-07,1,0,70.18181818181819,11,0
2020-12-08,k3,2020-11-04,1,-28,75.0,1,-34
2020-12-08,k3,2020-11-11,1,-27,70.0,1,-27
2020-12-08,k3,2020-11-20,1,-18,70.0,1,-18
2020-12-08,k3,2020-11-27,1,-11,73.0,1,-11
2020-12-08,k3,2020-12-01,1,-7,71.5,2,-7
2020-12-08,k3,2020-12-03,1,-5,70.0,1,-5
2020-12-08,k3,2020-12-04,1,-4,72.66666666666667,3,-4
2020-12-08,k3,2020-12-05,1,-3,78.0,1,-3
2020-12-08,k3,2020-12-07,1,-1,76.66666666666667,3,-1
2020-12-08,k3,2020-12-08,1,0,79.14285714285714,7,0
2020-12-09,k3,2020-11-10,1,-28,75.0,1,-29
2020-12-09,k3,2020-11-11,1,-28,78.0,1,-28
