rent_day,res_model,res_day,seasonality,lead_time_vec,discount,lead_time_vec,lead_time
2020-12-14,vlst,2020-11-08,1,-29,70.0,1,-36
2020-12-14,vlst,2020-11-13,1,-28,70.0,1,-31
2020-12-14,vlst,2020-11-26,1,-18,70.0,1,-18
2020-12-15,vlst,2020-12-12,1,-3,65.0,1,-3
2020-12-16,vlst,2020-11-26,1,-20,75.0,1,-20
2020-12-16,vlst,2020-12-01,1,-15,60.0,1,-15
2020-12-16,vlst,2020-12-09,1,-7,70.0,1,-7
2020-12-16,vlst,2020-12-10,1,-6,70.0,1,-6
2020-12-17,vlst,2020-10-11,2,-33,65.0,1,-67
2020-12-17,vlst,2020-11-16,2,-28,70.0,1,-31
2020-12-17,vlst,2020-11-26,2,-21,48.0,1,-21
2020-12-17,vlst,2020-12-10,2,-7,60.0,1,-7
2020-12-17,vlst,2020-12-16,2,-1,50.0,1,-1
2020-12-18,vlst,2020-11-20,2,-28,0.0,1,-28
2020-12-18,vlst,2020-12-06,2,-12,60.0,1,-12
2020-12-18,vlst,2020-12-08,2,-10,55.0,1,-10
2020-12-19,vlst,2020-10-06,2,-34,65.0,1,-74
2020-12-19,vlst,2020-11-04,2,-30,80.0,1,-45
2020-12-19,vlst,2020-11-25,2,-24,65.0,1,-24
2020-12-19,vlst,2020-12-06,2,-13,65.0,1,-13
2020-12-19,vlst,2020-12-10,2,-9,65.0,1,-9
2020-12-19,vlst,2020-12-15,2,-4,65.0,1,-4
2020-12-20,vlst,2020-09-29,2,-35,70.0,1,-82
2020-12-20,vlst,2020-10-29,2,-31,50.0,1,-52
2020-12-20,vlst,2020-11-03,2,-30,65.0,1,-47
2020-12-20,vlst,2020-11-18,2,-28,70.0,1,-32
2020-12-20,vlst,2020-11-23,2,-27,70.0,1,-27
2020-12-21,vlst,2020-10-15,1,-33,65.0,1,-67
2020-12-21,vlst,2020-10-19,1,-33,70.0,1,-63
2020-12-21,vlst,2020-11-07,1,-30,65.0,1,-44
2020-12-21,vlst,2020-11-25,1,-26,75.0,1,-26
2020-12-21,vlst,2020-11-27,1,-24,70.0,1,-24
2020-12-22,vlst,2020-11-06,1,-30,70.0,1,-46
2020-12-22,vlst,2020-11-07,1,-30,70.0,1,-45
2020-12-22,vlst,2020-11-09,1,-30,40.0,1,-43
2020-12-22,vlst,2020-11-12,1,-29,75.0,1,-40
2020-12-22,vlst,2020-11-22,1,-28,73.0,1,-30
2020-12-23,vlst,2020-09-26,3,-36,65.0,1,-88
2020-12-23,vlst,2020-10-26,3,-32,70.0,1,-58
2020-12-23,vlst,2020-11-05,3,-30,70.0,1,-48
2020-12-23,vlst,2020-12-09,3,-14,40.0,1,-14
2020-12-23,vlst,2020-12-10,3,-13,35.0,1,-13
2020-12-23,vlst,2020-12-12,3,-11,30.0,1,-11
2020-12-24,vlst,2020-10-29,3,-32,45.0,1,-56
2020-12-24,vlst,2020-11-02,3,-31,40.0,1,-52
2020-12-24,vlst,2020-11-07,3,-30,40.0,1,-47
2020-12-25,vlst,2020-09-26,3,-36,70.0,1,-90
2020-12-25,vlst,2020-10-05,3,-35,70.0,1,-81
2020-12-25,vlst,2020-10-15,3,-34,65.0,1,-71
2020-12-25,vlst,2020-10-27,3,-32,40.0,1,-59
2020-12-25,vlst,2020-11-01,3,-31,40.0,1,-54
2020-12-25,vlst,2020-11-02,3,-31,0.0,1,-53
2020-12-25,vlst,2020-11-03,3,-31,40.0,1,-52
2020-12-25,vlst,2020-11-13,3,-30,30.0,1,-42
2020-12-25,vlst,2020-12-10,3,-15,20.0,1,-15
2020-12-26,vlst,2020-11-14,2,-30,70.0,1,-42
2020-12-27,vlst,2020-11-01,2,-32,65.0,1,-56
2020-12-27,vlst,2020-11-11,2,-30,70.0,1,-46
2020-12-28,vlst,2020-11-01,1,-32,70.0,1,-57
2020-12-28,vlst,2020-11-02,1,-32,0.0,1,-56
2020-12-28,vlst,2020-11-25,1,-28,70.0,1,-33
2020-12-28,vlst,2020-11-26,1,-28,70.0,1,-32
2020-12-28,vlst,2020-12-03,1,-25,25.0,1,-25
2020-12-28,vlst,2020-12-14,1,-14,20.0,1,-14
2020-12-29,vlst,2020-10-31,1,-32,70.0,1,-59
2020-12-29,vlst,2020-11-06,1,-31,70.0,1,-53
2020-12-30,vlst,2020-10-15,3,-34,65.0,1,-76
2020-12-30,vlst,2020-10-16,3,-34,65.0,1,-75
2020-12-30,vlst,2020-10-22,3,-33,75.0,1,-69
2020-12-30,vlst,2020-10-27,3,-33,75.0,1,-64
2020-12-30,vlst,2020-10-28,3,-33,70.0,1,-63
2020-12-30,vlst,2020-11-04,3,-32,75.0,1,-56
2020-12-30,vlst,2020-11-05,3,-31,72.5,2,-55
2020-12-30,vlst,2020-11-07,3,-31,65.0,1,-53
2020-12-30,vlst,2020-11-17,3,-30,30.0,1,-43
2020-12-31,vlst,2020-10-02,3,-36,65.0,1,-90
2020-12-31,vlst,2020-10-09,3,-35,65.0,1,-83
2020-12-31,vlst,2020-10-18,3,-34,40.0,1,-74
2020-12-31,vlst,2020-10-31,3,-32,35.0,1,-61
2020-12-31,vlst,2020-11-05,3,-32,40.0,1,-56
2020-12-31,vlst,2020-11-30,3,-28,12.5,2,-31
2020-12-31,vlst,2020-12-07,3,-24,13.0,1,-24
2021-01-01,vlst,2020-10-03,3,-36,70.0,1,-90
2021-01-01,vlst,2020-11-02,3,-32,0.0,1,-60
2021-01-01,vlst,2020-12-15,3,-17,10.0,1,-17
2021-01-02,vlst,2020-11-01,3,-32,45.0,1,-62
2021-01-02,vlst,2020-11-22,3,-29,65.0,1,-41
2021-01-03,vlst,2020-11-24,3,-29,65.0,1,-40
2021-01-04,vlst,2020-10-16,1,-35,70.0,1,-80
2021-01-04,vlst,2020-12-04,1,-28,70.0,1,-31
2021-01-05,vlst,2020-12-11,1,-25,75.0,1,-25
2021-01-05,vlst,2020-12-15,1,-21,83.0,1,-21
2021-01-06,vlst,2020-11-25,1,-30,0.0,1,-42
2021-01-06,vlst,2020-11-30,1,-29,75.0,2,-37
2021-01-08,vlst,2020-11-23,2,-30,65.0,1,-46
2021-01-08,vlst,2020-12-01,2,-29,73.0,1,-38
2021-01-08,vlst,2020-12-04,2,-29,75.0,1,-35
2021-01-09,vlst,2020-11-01,2,-33,68.0,1,-69
2021-01-09,vlst,2020-11-29,2,-29,75.0,1,-41
2021-01-09,vlst,2020-11-30,2,-29,70.0,1,-40
2021-01-10,vlst,2020-11-19,2,-31,65.0,1,-52
2021-01-10,vlst,2020-12-10,2,-28,75.0,1,-31
2021-01-11,vlst,2020-11-23,1,-31,65.0,1,-49
2021-01-11,vlst,2020-12-03,1,-29,80.0,1,-39
2021-01-11,vlst,2020-12-04,1,-29,85.0,1,-38
2021-01-11,vlst,2020-12-07,1,-29,80.0,1,-35
2021-01-13,vlst,2020-11-24,1,-31,70.0,1,-50
2021-01-13,vlst,2020-12-06,1,-29,80.0,1,-38
2021-01-13,vlst,2020-12-07,1,-29,75.0,1,-37
2021-01-13,vlst,2020-12-11,1,-28,75.0,1,-33
2021-01-14,vlst,2020-11-15,2,-32,65.0,1,-60
2021-01-14,vlst,2020-11-18,2,-32,70.0,1,-57
2021-01-15,vlst,2020-10-24,2,-35,70.0,1,-83
2021-01-15,vlst,2020-11-27,2,-31,70.0,1,-49
2021-01-15,vlst,2020-11-30,2,-30,65.0,1,-46
2021-01-18,vlst,2020-11-17,1,-32,65.0,1,-62
2021-01-20,vlst,2020-12-01,1,-31,75.0,1,-50
2021-01-21,vlst,2020-11-08,2,-34,65.0,1,-74
2021-01-21,vlst,2020-12-08,2,-30,75.0,1,-44
2021-01-23,vlst,2020-11-25,2,-32,70.0,1,-59
2021-01-24,vlst,2020-11-12,2,-34,65.0,1,-73
2021-01-24,vlst,2020-11-22,2,-33,65.0,1,-63
2021-01-24,vlst,2020-12-04,2,-31,70.0,1,-51
2021-01-24,vlst,2020-12-10,2,-30,70.0,1,-45
2021-01-25,vlst,2020-10-27,1,-36,70.0,1,-90
2021-01-25,vlst,2020-12-14,1,-30,73.0,1,-42
2021-01-29,vlst,2020-12-02,2,-32,75.0,1,-58
2021-01-29,vlst,2020-12-06,2,-31,78.0,1,-54
2021-02-01,vlst,2020-11-23,1,-34,70.0,1,-70
2021-02-01,vlst,2020-12-01,1,-32,80.0,1,-62
2021-02-04,vlst,2020-11-08,2,-36,70.0,1,-88
2021-02-07,vlst,2020-11-29,2,-34,75.0,1,-70
2021-02-10,vlst,2020-11-27,3,-34,60.0,1,-75
2021-02-10,vlst,2020-12-16,3,-32,65.0,1,-56
2021-02-11,vlst,2020-11-14,3,-36,65.0,1,-89
2021-02-11,vlst,2020-11-18,3,-36,65.0,1,-85
2021-02-11,vlst,2020-12-02,3,-34,50.0,1,-71
2021-02-11,vlst,2020-12-05,3,-33,55.0,1,-68
2021-02-11,vlst,2020-12-10,3,-33,60.0,1,-63
2021-02-18,vlst,2020-11-22,2,-36,65.0,1,-88
