rent_day,res_model,res_day,seasonality,lead_time_vec,discount,lead_time_vec,lead_time
2020-12-07,av_ad,2020-12-06,1,-1,75.0,4,-1
2020-12-08,av_ad,2020-11-02,1,-29,75.0,1,-36
2020-12-08,av_ad,2020-11-22,1,-16,70.0,1,-16
2020-12-08,av_ad,2020-11-27,1,-11,72.5,2,-11
2020-12-08,av_ad,2020-11-30,1,-8,73.0,1,-8
2020-12-08,av_ad,2020-12-01,1,-7,70.0,1,-7
2020-12-08,av_ad,2020-12-02,1,-6,75.0,1,-6
2020-12-08,av_ad,2020-12-03,1,-5,74.0,2,-5
2020-12-08,av_ad,2020-12-07,1,-1,80.0,1,-1
2020-12-09,av_ad,2020-11-14,1,-25,70.0,1,-25
2020-12-09,av_ad,2020-11-17,1,-22,75.0,1,-22
2020-12-09,av_ad,2020-11-20,1,-19,70.0,1,-19
2020-12-09,av_ad,2020-11-22,1,-17,70.0,1,-17
2020-12-09,av_ad,2020-11-23,1,-16,80.0,1,-16
2020-12-09,av_ad,2020-11-25,1,-14,73.0,1,-14
2020-12-09,av_ad,2020-11-27,1,-12,75.0,1,-12
2020-12-09,av_ad,2020-12-05,1,-4,75.0,1,-4
2020-12-09,av_ad,2020-12-07,1,-2,77.0,3,-2
2020-12-09,av_ad,2020-12-08,1,-1,80.0,2,-1
2020-12-10,av_ad,2020-10-26,2,-30,70.0,1,-45
2020-12-10,av_ad,2020-11-11,2,-28,80.0,1,-29
2020-12-10,av_ad,2020-11-16,2,-24,32.5,2,-24
2020-12-10,av_ad,2020-11-20,2,-20,65.0,1,-20
2020-12-10,av_ad,2020-11-22,2,-18,70.0,1,-18
2020-12-10,av_ad,2020-11-25,2,-15,65.0,1,-15
2020-12-10,av_ad,2020-11-26,2,-14,60.0,1,-14
2020-12-10,av_ad,2020-12-07,2,-3,69.0,2,-3
2020-12-10,av_ad,2020-12-08,2,-2,67.5,2,-2
2020-12-10,av_ad,2020-12-09,2,-1,65.0,1,-1
2020-12-10,av_ad,2020-12-10,2,0,73.0,1,0
2020-12-11,av_ad,2020-11-04,2,-29,65.0,1,-37
2020-12-11,av_ad,2020-11-22,2,-19,65.0,2,-19
2020-12-11,av_ad,2020-11-25,2,-16,0.0,1,-16
2020-12-11,av_ad,2020-11-26,2,-15,72.5,2,-15
2020-12-11,av_ad,2020-12-01,2,-10,65.0,1,-10
2020-12-11,av_ad,2020-12-02,2,-9,70.0,1,-9
2020-12-11,av_ad,2020-12-04,2,-7,67.5,2,-7
2020-12-11,av_ad,2020-12-08,2,-3,70.0,1,-3
2020-12-11,av_ad,2020-12-10,2,-1,68.25,4,-1
2020-12-12,av_ad,2020-10-11,2,-32,70.0,1,-62
2020-12-12,av_ad,2020-10-29,2,-30,65.0,1,-44
2020-12-12,av_ad,2020-11-06,2,-29,65.0,1,-36
2020-12-12,av_ad,2020-11-10,2,-28,65.0,1,-32
2020-12-12,av_ad,2020-11-11,2,-28,70.0,1,-31
2020-12-12,av_ad,2020-11-16,2,-26,65.0,1,-26
2020-12-12,av_ad,2020-11-19,2,-23,70.0,1,-23
2020-12-12,av_ad,2020-11-22,2,-20,65.0,2,-20
2020-12-12,av_ad,2020-11-23,2,-19,70.0,1,-19
2020-12-12,av_ad,2020-11-25,2,-17,65.0,1,-17
2020-12-12,av_ad,2020-12-01,2,-11,66.66666666666667,3,-11
2020-12-12,av_ad,2020-12-05,2,-7,60.0,1,-7
2020-12-12,av_ad,2020-12-07,2,-5,70.0,1,-5
2020-12-12,av_ad,2020-12-10,2,-2,65.0,3,-2
2020-12-12,av_ad,2020-12-11,2,-1,65.0,4,-1
2020-12-12,av_ad,2020-12-12,2,0,65.0,1,0
2020-12-13,av_ad,2020-10-13,2,-32,70.0,1,-61
2020-12-13,av_ad,2020-10-20,2,-31,65.0,1,-54
2020-12-13,av_ad,2020-11-23,2,-20,67.5,2,-20
2020-12-13,av_ad,2020-11-25,2,-18,65.0,1,-18
2020-12-13,av_ad,2020-11-27,2,-16,65.0,1,-16
2020-12-13,av_ad,2020-11-30,2,-13,70.0,1,-13
2020-12-13,av_ad,2020-12-05,2,-8,65.0,1,-8
2020-12-13,av_ad,2020-12-06,2,-7,65.0,1,-7
2020-12-13,av_ad,2020-12-07,2,-6,65.0,1,-6
2020-12-13,av_ad,2020-12-11,2,-2,65.0,1,-2
2020-12-14,av_ad,2020-10-21,1,-31,70.0,1,-54
2020-12-14,av_ad,2020-11-07,1,-29,65.0,1,-37
2020-12-14,av_ad,2020-11-16,1,-28,70.0,1,-28
2020-12-14,av_ad,2020-11-17,1,-27,70.0,1,-27
2020-12-14,av_ad,2020-11-21,1,-23,70.0,1,-23
2020-12-14,av_ad,2020-11-22,1,-22,65.0,1,-22
2020-12-14,av_ad,2020-11-23,1,-21,70.0,2,-21
2020-12-14,av_ad,2020-12-03,1,-11,50.0,1,-11
2020-12-14,av_ad,2020-12-07,1,-7,58.0,1,-7
2020-12-14,av_ad,2020-12-10,1,-4,60.0,1,-4
2020-12-15,av_ad,2020-11-12,1,-28,70.0,1,-33
2020-12-15,av_ad,2020-11-20,1,-25,83.0,1,-25
2020-12-15,av_ad,2020-11-26,1,-19,75.0,1,-19
2020-12-15,av_ad,2020-12-07,1,-8,10.0,1,-8
2020-12-15,av_ad,2020-12-13,1,-2,75.0,1,-2
2020-12-15,av_ad,2020-12-15,1,0,83.0,1,0
2020-12-16,av_ad,2020-11-06,1,-29,70.0,1,-40
2020-12-16,av_ad,2020-11-09,1,-29,75.0,1,-37
2020-12-16,av_ad,2020-11-16,1,-28,70.0,1,-30
2020-12-16,av_ad,2020-11-17,1,-28,70.0,1,-29
2020-12-16,av_ad,2020-11-18,1,-28,73.0,1,-28
2020-12-16,av_ad,2020-12-08,1,-8,60.0,1,-8
2020-12-16,av_ad,2020-12-14,1,-2,68.25,4,-2
2020-12-16,av_ad,2020-12-15,1,-1,70.0,1,-1
2020-12-17,av_ad,2020-11-23,2,-24,65.0,2,-24
2020-12-17,av_ad,2020-12-09,2,-8,58.0,1,-8
2020-12-18,av_ad,2020-11-21,2,-27,70.0,1,-27
2020-12-18,av_ad,2020-11-27,2,-21,47.5,2,-21
2020-12-19,av_ad,2020-11-02,2,-30,65.0,1,-47
2020-12-19,av_ad,2020-11-17,2,-28,80.0,1,-32
2020-12-19,av_ad,2020-11-24,2,-25,70.0,1,-25
2020-12-19,av_ad,2020-11-25,2,-24,65.0,1,-24
2020-12-19,av_ad,2020-12-14,2,-5,60.0,1,-5
2020-12-20,av_ad,2020-10-24,2,-32,65.0,1,-57
2020-12-20,av_ad,2020-10-26,2,-31,70.0,1,-55
2020-12-20,av_ad,2020-11-01,2,-31,65.0,1,-49
2020-12-20,av_ad,2020-11-04,2,-30,65.0,2,-46
2020-12-20,av_ad,2020-11-10,2,-29,70.0,1,-40
2020-12-20,av_ad,2020-11-16,2,-28,70.0,1,-34
2020-12-20,av_ad,2020-11-23,2,-27,65.0,1,-27
2020-12-20,av_ad,2020-12-13,2,-7,50.0,1,-7
2020-12-21,av_ad,2020-11-04,1,-30,75.0,1,-47
2020-12-21,av_ad,2020-11-09,1,-30,0.0,1,-42
2020-12-21,av_ad,2020-11-18,1,-28,70.0,1,-33
2020-12-21,av_ad,2020-11-25,1,-26,70.0,1,-26
2020-12-21,av_ad,2020-11-30,1,-21,38.0,1,-21
2020-12-22,av_ad,2020-11-09,1,-30,70.0,1,-43
2020-12-22,av_ad,2020-11-24,1,-28,75.0,1,-28
2020-12-23,av_ad,2020-10-28,3,-32,75.0,1,-56
2020-12-23,av_ad,2020-10-30,3,-31,70.0,1,-54
2020-12-23,av_ad,2020-11-06,3,-30,75.0,1,-47
2020-12-23,av_ad,2020-11-10,3,-30,70.0,1,-43
2020-12-23,av_ad,2020-11-12,3,-29,55.0,1,-41
2020-12-23,av_ad,2020-11-16,3,-29,55.0,1,-37
2020-12-23,av_ad,2020-12-10,3,-13,35.0,1,-13
2020-12-23,av_ad,2020-12-11,3,-12,0.0,1,-12
2020-12-24,av_ad,2020-09-29,3,-36,70.0,1,-86
2020-12-24,av_ad,2020-11-06,3,-30,40.0,1,-48
2020-12-24,av_ad,2020-11-09,3,-30,40.0,1,-45
2020-12-24,av_ad,2020-11-12,3,-30,35.0,2,-42
2020-12-24,av_ad,2020-11-29,3,-25,15.0,1,-25
2020-12-24,av_ad,2020-12-08,3,-16,20.0,1,-16
2020-12-24,av_ad,2020-12-13,3,-11,18.333333333333332,3,-11
2020-12-25,av_ad,2020-09-30,3,-36,70.0,1,-86
2020-12-25,av_ad,2020-10-07,3,-35,65.0,1,-79
2020-12-25,av_ad,2020-10-11,3,-34,70.0,1,-75
2020-12-25,av_ad,2020-10-15,3,-34,65.0,1,-71
2020-12-25,av_ad,2020-10-24,3,-32,40.0,1,-62
2020-12-25,av_ad,2020-10-27,3,-32,43.0,1,-59
2020-12-25,av_ad,2020-10-31,3,-31,40.0,1,-55
2020-12-25,av_ad,2020-11-02,3,-31,0.0,2,-53
2020-12-25,av_ad,2020-11-04,3,-31,40.0,1,-51
2020-12-25,av_ad,2020-11-17,3,-29,35.0,1,-38
2020-12-25,av_ad,2020-11-23,3,-28,27.0,1,-32
2020-12-25,av_ad,2020-11-25,3,-28,15.0,1,-30
2020-12-25,av_ad,2020-12-08,3,-17,10.0,1,-17
2020-12-25,av_ad,2020-12-11,3,-14,10.0,1,-14
2020-12-26,av_ad,2020-11-13,2,-30,65.0,1,-43
2020-12-26,av_ad,2020-11-18,2,-29,62.5,2,-38
2020-12-26,av_ad,2020-11-19,2,-29,70.0,2,-37
2020-12-26,av_ad,2020-11-20,2,-29,70.0,1,-36
2020-12-26,av_ad,2020-11-22,2,-28,65.0,1,-34
2020-12-26,av_ad,2020-12-08,2,-18,20.0,1,-18
2020-12-27,av_ad,2020-10-09,2,-35,65.0,1,-79
2020-12-27,av_ad,2020-11-08,2,-31,65.0,1,-49
2020-12-27,av_ad,2020-11-10,2,-30,65.0,1,-47
2020-12-27,av_ad,2020-11-16,2,-29,65.0,1,-41
2020-12-27,av_ad,2020-11-17,2,-29,65.0,1,-40
2020-12-27,av_ad,2020-11-22,2,-29,60.0,1,-35
2020-12-27,av_ad,2020-11-30,2,-27,10.0,1,-27
2020-12-28,av_ad,2020-10-19,1,-34,70.0,1,-70
2020-12-28,av_ad,2020-11-02,1,-32,0.0,2,-56
2020-12-28,av_ad,2020-11-04,1,-31,70.0,1,-54
2020-12-28,av_ad,2020-11-05,1,-31,0.0,1,-53
2020-12-28,av_ad,2020-11-09,1,-31,70.0,1,-49
2020-12-28,av_ad,2020-11-15,1,-30,70.0,2,-43
2020-12-28,av_ad,2020-11-16,1,-30,70.0,3,-42
2020-12-29,av_ad,2020-10-05,1,-36,68.0,1,-85
2020-12-29,av_ad,2020-11-08,1,-31,70.0,3,-51
