rent_day,res_model,res_day,discount,util_add,seasonality,lead_time_vec,util_rate_add,lead_time
2020-12-06,soul,2020-11-12,65.0,1.0,2,-24,0.034482758620689655,-24
2020-12-06,soul,2020-11-18,70.0,1.0,2,-18,0.034482758620689655,-18
2020-12-06,soul,2020-11-19,66.0,3.0,2,-17,0.10344827586206896,-17
2020-12-06,soul,2020-11-20,60.0,1.0,2,-16,0.034482758620689655,-16
2020-12-06,soul,2020-11-21,75.0,2.0,2,-15,0.06896551724137931,-15
2020-12-06,soul,2020-11-22,70.0,1.0,2,-14,0.034482758620689655,-14
2020-12-06,soul,2020-11-25,72.5,2.0,2,-11,0.06896551724137931,-11
2020-12-06,soul,2020-11-26,65.0,1.0,2,-10,0.034482758620689655,-10
2020-12-06,soul,2020-12-01,71.0,3.0,2,-5,0.10344827586206896,-5
2020-12-06,soul,2020-12-03,67.75,4.0,2,-3,0.13793103448275862,-3
2020-12-06,soul,2020-12-04,66.66666666666667,3.0,2,-2,0.10344827586206896,-2
2020-12-06,soul,2020-12-05,63.333333333333336,3.0,2,-1,0.10344827586206896,-1
2020-12-06,soul,2020-12-06,70.0,1.0,2,0,0.034482758620689655,0
2020-12-07,soul,2020-09-08,72.0,1.0,1,-36,0.034482758620689655,-90
2020-12-07,soul,2020-10-15,68.0,1.0,1,-31,0.034482758620689655,-53
2020-12-07,soul,2020-11-02,65.0,1.0,1,-29,0.034482758620689655,-35
2020-12-07,soul,2020-11-09,65.0,1.0,1,-28,0.034482758620689655,-28
2020-12-07,soul,2020-11-12,65.0,1.0,1,-25,0.034482758620689655,-25
2020-12-07,soul,2020-11-17,70.0,1.0,1,-20,0.034482758620689655,-20
2020-12-07,soul,2020-11-18,70.0,1.0,1,-19,0.034482758620689655,-19
2020-12-07,soul,2020-11-19,65.0,1.0,1,-18,0.034482758620689655,-18
2020-12-07,soul,2020-11-20,75.0,1.0,1,-17,0.034482758620689655,-17
2020-12-07,soul,2020-11-21,75.0,2.0,1,-16,0.06896551724137931,-16
2020-12-07,soul,2020-11-22,70.0,1.0,1,-15,0.034482758620689655,-15
2020-12-07,soul,2020-11-25,80.0,1.0,1,-12,0.034482758620689655,-12
2020-12-07,soul,2020-12-01,71.0,3.0,1,-6,0.10344827586206896,-6
2020-12-07,soul,2020-12-02,70.0,1.0,1,-5,0.034482758620689655,-5
2020-12-07,soul,2020-12-03,68.0,1.0,1,-4,0.034482758620689655,-4
2020-12-07,soul,2020-12-04,69.5,4.0,1,-3,0.13793103448275862,-3
2020-12-07,soul,2020-12-05,62.5,2.0,1,-2,0.06896551724137931,-2
2020-12-07,soul,2020-12-06,70.0,1.0,1,-1,0.034482758620689655,-1
2020-12-07,soul,2020-12-07,75.0,0.6666666666666666,1,0,0.022988505747126436,0
2020-12-08,soul,2020-09-08,72.0,1.0,1,-36,0.034482758620689655,-91
2020-12-08,soul,2020-10-15,68.0,1.0,1,-31,0.034482758620689655,-54
2020-12-08,soul,2020-11-02,65.0,1.0,1,-29,0.034482758620689655,-36
2020-12-08,soul,2020-11-07,70.0,1.0,1,-28,0.034482758620689655,-31
2020-12-08,soul,2020-11-09,65.0,1.0,1,-28,0.034482758620689655,-29
2020-12-08,soul,2020-11-12,65.0,1.0,1,-26,0.034482758620689655,-26
2020-12-08,soul,2020-11-17,70.0,1.0,1,-21,0.034482758620689655,-21
2020-12-08,soul,2020-11-18,70.0,1.0,1,-20,0.034482758620689655,-20
2020-12-08,soul,2020-11-20,75.0,2.0,1,-18,0.06896551724137931,-18
2020-12-08,soul,2020-11-21,77.5,2.0,1,-17,0.06896551724137931,-17
2020-12-08,soul,2020-11-22,70.0,1.0,1,-16,0.034482758620689655,-16
2020-12-08,soul,2020-11-25,80.0,1.0,1,-13,0.034482758620689655,-13
2020-12-08,soul,2020-12-01,71.5,2.0,1,-7,0.06896551724137931,-7
2020-12-08,soul,2020-12-02,71.5,2.0,1,-6,0.06896551724137931,-6
2020-12-08,soul,2020-12-03,68.0,1.0,1,-5,0.034482758620689655,-5
2020-12-08,soul,2020-12-04,68.33333333333333,3.0,1,-4,0.10344827586206896,-4
2020-12-08,soul,2020-12-05,65.0,1.0,1,-3,0.034482758620689655,-3
2020-12-08,soul,2020-12-06,70.0,1.0,1,-2,0.034482758620689655,-2
2020-12-08,soul,2020-12-07,75.0,1.0,1,-1,0.034482758620689655,-1
2020-12-09,soul,2020-09-08,72.0,1.0,1,-36,0.034482758620689655,-92
2020-12-09,soul,2020-10-15,68.0,1.0,1,-31,0.034482758620689655,-55
2020-12-09,soul,2020-10-17,70.0,1.0,1,-31,0.034482758620689655,-53
2020-12-09,soul,2020-10-31,70.0,0.3055555555555556,1,-29,0.01053639846743295,-39
2020-12-09,soul,2020-11-02,65.0,1.0,1,-29,0.034482758620689655,-37
