rent_day,res_model,res_day,discount,util_add,seasonality,lead_time_vec,util_rate_add,lead_time
2020-12-04,av_ad,2020-11-10,65.0,1.0,2,-24,0.015625,-24
2020-12-04,av_ad,2020-11-11,65.0,1.0,2,-23,0.015625,-23
2020-12-04,av_ad,2020-11-12,37.5,2.0,2,-22,0.03125,-22
2020-12-04,av_ad,2020-11-13,78.0,1.0,2,-21,0.015625,-21
2020-12-04,av_ad,2020-11-14,72.0,4.0,2,-20,0.0625,-20
2020-12-04,av_ad,2020-11-15,65.0,2.0,2,-19,0.03125,-19
2020-12-04,av_ad,2020-11-16,72.5,4.0,2,-18,0.0625,-18
2020-12-04,av_ad,2020-11-17,68.33333333333333,3.0,2,-17,0.046875,-17
2020-12-04,av_ad,2020-11-18,71.2,5.0,2,-16,0.078125,-16
2020-12-04,av_ad,2020-11-19,69.0,2.0,2,-15,0.03125,-15
2020-12-04,av_ad,2020-11-20,70.0,1.75,2,-14,0.02734375,-14
2020-12-04,av_ad,2020-11-21,67.5,2.0,2,-13,0.03125,-13
2020-12-04,av_ad,2020-11-22,70.0,1.0,2,-12,0.015625,-12
2020-12-04,av_ad,2020-11-24,0.0,1.0,2,-10,0.015625,-10
2020-12-04,av_ad,2020-11-25,65.0,1.0,2,-9,0.015625,-9
2020-12-04,av_ad,2020-11-27,70.0,2.0,2,-7,0.03125,-7
2020-12-04,av_ad,2020-11-28,70.0,1.0,2,-6,0.015625,-6
2020-12-04,av_ad,2020-11-29,70.0,1.0,2,-5,0.015625,-5
2020-12-04,av_ad,2020-11-30,67.57142857142857,7.0,2,-4,0.109375,-4
2020-12-04,av_ad,2020-12-01,65.83333333333333,4.833333333333333,2,-3,0.07552083333333333,-3
2020-12-05,av_ad,2020-10-08,65.0,1.0,2,-32,0.015625,-58
2020-12-05,av_ad,2020-10-19,65.0,1.0,2,-30,0.015625,-47
2020-12-05,av_ad,2020-10-22,65.0,0.5833333333333334,2,-30,0.009114583333333334,-44
2020-12-05,av_ad,2020-10-26,65.0,1.0,2,-29,0.015625,-40
2020-12-05,av_ad,2020-11-01,70.0,1.0,2,-28,0.015625,-34
2020-12-05,av_ad,2020-11-04,67.5,2.0,2,-28,0.03125,-31
2020-12-05,av_ad,2020-11-06,68.0,1.0,2,-28,0.015625,-29
2020-12-05,av_ad,2020-11-07,65.0,1.0,2,-28,0.015625,-28
2020-12-05,av_ad,2020-11-09,58.0,5.0,2,-26,0.078125,-26
2020-12-05,av_ad,2020-11-10,65.0,1.0,2,-25,0.015625,-25
2020-12-05,av_ad,2020-11-11,65.0,1.0,2,-24,0.015625,-24
2020-12-05,av_ad,2020-11-12,65.0,1.0,2,-23,0.015625,-23
2020-12-05,av_ad,2020-11-13,78.0,1.0,2,-22,0.015625,-22
2020-12-05,av_ad,2020-11-14,72.0,4.0,2,-21,0.0625,-21
2020-12-05,av_ad,2020-11-15,65.0,3.0,2,-20,0.046875,-20
