rent_day,res_model,res_day,seasonality,lead_time_vec,cnt_cum,disc_mean,lead_time
2020-12-13,vlst,2020-12-12,2,-1,9,65.55555555555556,-1
2020-12-14,vlst,2020-11-05,1,-29,1,70.0,-39
2020-12-14,vlst,2020-11-08,1,-29,2,70.0,-36
2020-12-14,vlst,2020-11-13,1,-28,3,70.0,-31
2020-12-14,vlst,2020-11-26,1,-18,4,70.0,-18
2020-12-15,vlst,2020-12-12,1,-3,1,65.0,-3
2020-12-16,vlst,2020-11-26,1,-20,1,75.0,-20
2020-12-16,vlst,2020-12-01,1,-15,2,67.5,-15
2020-12-16,vlst,2020-12-09,1,-7,3,68.33333333333333,-7
2020-12-16,vlst,2020-12-10,1,-6,4,68.75,-6
2020-12-17,vlst,2020-10-11,2,-33,1,65.0,-67
2020-12-17,vlst,2020-11-16,2,-28,2,67.5,-31
2020-12-17,vlst,2020-11-26,2,-21,3,61.0,-21
2020-12-17,vlst,2020-12-10,2,-7,4,60.75,-7
2020-12-17,vlst,2020-12-16,2,-1,5,58.6,-1
2020-12-18,vlst,2020-11-20,2,-28,1,0.0,-28
2020-12-18,vlst,2020-12-06,2,-12,2,30.0,-12
2020-12-18,vlst,2020-12-08,2,-10,3,38.333333333333336,-10
2020-12-19,vlst,2020-10-06,2,-34,1,65.0,-74
2020-12-19,vlst,2020-11-04,2,-30,2,72.5,-45
2020-12-19,vlst,2020-11-25,2,-24,3,70.0,-24
2020-12-19,vlst,2020-12-06,2,-13,4,68.75,-13
2020-12-19,vlst,2020-12-10,2,-9,5,68.0,-9
2020-12-19,vlst,2020-12-15,2,-4,6,67.5,-4
2020-12-20,vlst,2020-09-29,2,-35,1,70.0,-82
2020-12-20,vlst,2020-10-29,2,-31,2,60.0,-52
2020-12-20,vlst,2020-11-03,2,-30,3,61.666666666666664,-47
2020-12-20,vlst,2020-11-18,2,-28,4,63.75,-32
2020-12-20,vlst,2020-11-23,2,-27,5,65.0,-27
2020-12-21,vlst,2020-10-15,1,-33,1,65.0,-67
2020-12-21,vlst,2020-10-19,1,-33,2,67.5,-63
2020-12-21,vlst,2020-11-07,1,-30,3,66.66666666666667,-44
2020-12-21,vlst,2020-11-25,1,-26,4,68.75,-26
2020-12-21,vlst,2020-11-27,1,-24,5,69.0,-24
2020-12-22,vlst,2020-11-06,1,-30,1,70.0,-46
2020-12-22,vlst,2020-11-07,1,-30,2,70.0,-45
2020-12-22,vlst,2020-11-09,1,-30,3,60.0,-43
2020-12-22,vlst,2020-11-12,1,-29,4,63.75,-40
2020-12-22,vlst,2020-11-22,1,-28,5,65.6,-30
2020-12-23,vlst,2020-09-26,3,-36,1,65.0,-88
2020-12-23,vlst,2020-10-26,3,-32,2,67.5,-58
2020-12-23,vlst,2020-11-05,3,-30,3,68.33333333333333,-48
2020-12-23,vlst,2020-12-09,3,-14,4,61.25,-14
2020-12-23,vlst,2020-12-10,3,-13,5,56.0,-13
2020-12-23,vlst,2020-12-12,3,-11,6,51.666666666666664,-11
2020-12-24,vlst,2020-10-29,3,-32,1,45.0,-56
2020-12-24,vlst,2020-11-02,3,-31,2,42.5,-52
2020-12-24,vlst,2020-11-07,3,-30,3,41.666666666666664,-47
2020-12-25,vlst,2020-09-26,3,-36,1,70.0,-90
2020-12-25,vlst,2020-10-05,3,-35,2,70.0,-81
2020-12-25,vlst,2020-10-15,3,-34,3,68.33333333333333,-71
2020-12-25,vlst,2020-10-27,3,-32,4,61.25,-59
2020-12-25,vlst,2020-11-01,3,-31,5,57.0,-54
2020-12-25,vlst,2020-11-02,3,-31,6,47.5,-53
2020-12-25,vlst,2020-11-03,3,-31,7,46.42857142857143,-52
2020-12-25,vlst,2020-11-13,3,-30,8,44.375,-42
2020-12-25,vlst,2020-12-10,3,-15,9,41.666666666666664,-15
2020-12-26,vlst,2020-11-14,2,-30,1,70.0,-42
2020-12-27,vlst,2020-11-01,2,-32,1,65.0,-56
2020-12-27,vlst,2020-11-11,2,-30,2,67.5,-46
2020-12-28,vlst,2020-11-01,1,-32,1,70.0,-57
2020-12-28,vlst,2020-11-02,1,-32,2,35.0,-56
2020-12-28,vlst,2020-11-25,1,-28,3,46.666666666666664,-33
2020-12-28,vlst,2020-11-26,1,-28,4,52.5,-32
2020-12-28,vlst,2020-12-03,1,-25,5,47.0,-25
2020-12-28,vlst,2020-12-14,1,-14,6,42.5,-14
2020-12-29,vlst,2020-10-31,1,-32,1,70.0,-59
2020-12-29,vlst,2020-11-06,1,-31,2,70.0,-53
2020-12-30,vlst,2020-10-15,3,-34,1,65.0,-76
2020-12-30,vlst,2020-10-16,3,-34,2,65.0,-75
2020-12-30,vlst,2020-10-22,3,-33,3,68.33333333333333,-69
2020-12-30,vlst,2020-10-27,3,-33,4,70.0,-64
2020-12-30,vlst,2020-10-28,3,-33,5,70.0,-63
2020-12-30,vlst,2020-11-04,3,-32,6,70.83333333333333,-56
2020-12-30,vlst,2020-11-05,3,-31,8,71.25,-55
2020-12-30,vlst,2020-11-07,3,-31,9,70.55555555555556,-53
2020-12-30,vlst,2020-11-17,3,-30,10,66.5,-43
2020-12-31,vlst,2020-10-02,3,-36,1,65.0,-90
2020-12-31,vlst,2020-10-09,3,-35,2,65.0,-83
2020-12-31,vlst,2020-10-18,3,-34,3,56.666666666666664,-74
2020-12-31,vlst,2020-10-31,3,-32,4,51.25,-61
2020-12-31,vlst,2020-11-05,3,-32,5,49.0,-56
2020-12-31,vlst,2020-11-30,3,-28,7,38.57142857142857,-31
2020-12-31,vlst,2020-12-07,3,-24,8,35.375,-24
2021-01-01,vlst,2020-10-03,3,-36,1,70.0,-90
2021-01-01,vlst,2020-11-02,3,-32,2,35.0,-60
2021-01-01,vlst,2020-12-15,3,-17,3,26.666666666666668,-17
2021-01-02,vlst,2020-11-01,3,-32,1,45.0,-62
2021-01-02,vlst,2020-11-22,3,-29,2,55.0,-41
2021-01-03,vlst,2020-11-24,3,-29,1,65.0,-40
2021-01-04,vlst,2020-10-16,1,-35,1,70.0,-80
2021-01-04,vlst,2020-12-04,1,-28,2,70.0,-31
2021-01-05,vlst,2020-12-11,1,-25,1,75.0,-25
2021-01-05,vlst,2020-12-15,1,-21,2,79.0,-21
2021-01-06,vlst,2020-11-25,1,-30,1,0.0,-42
2021-01-06,vlst,2020-11-30,1,-29,3,50.0,-37
2021-01-08,vlst,2020-11-23,2,-30,1,65.0,-46
2021-01-08,vlst,2020-12-01,2,-29,2,69.0,-38
2021-01-08,vlst,2020-12-04,2,-29,3,71.0,-35
2021-01-09,vlst,2020-11-01,2,-33,1,68.0,-69
2021-01-09,vlst,2020-11-29,2,-29,2,71.5,-41
2021-01-09,vlst,2020-11-30,2,-29,3,71.0,-40
2021-01-10,vlst,2020-11-19,2,-31,1,65.0,-52
2021-01-10,vlst,2020-12-10,2,-28,2,70.0,-31
2021-01-11,vlst,2020-11-23,1,-31,1,65.0,-49
2021-01-11,vlst,2020-12-03,1,-29,2,72.5,-39
2021-01-11,vlst,2020-12-04,1,-29,3,76.66666666666667,-38
2021-01-11,vlst,2020-12-07,1,-29,4,77.5,-35
2021-01-13,vlst,2020-11-24,1,-31,1,70.0,-50
2021-01-13,vlst,2020-12-06,1,-29,2,75.0,-38
2021-01-13,vlst,2020-12-07,1,-29,3,75.0,-37
2021-01-13,vlst,2020-12-11,1,-28,4,75.0,-33
2021-01-14,vlst,2020-11-15,2,-32,1,65.0,-60
2021-01-14,vlst,2020-11-18,2,-32,2,67.5,-57
2021-01-15,vlst,2020-10-24,2,-35,1,70.0,-83
2021-01-15,vlst,2020-11-27,2,-31,2,70.0,-49
2021-01-15,vlst,2020-11-30,2,-30,3,68.33333333333333,-46
2021-01-18,vlst,2020-11-17,1,-32,1,65.0,-62
2021-01-20,vlst,2020-12-01,1,-31,1,75.0,-50
2021-01-21,vlst,2020-11-08,2,-34,1,65.0,-74
2021-01-21,vlst,2020-12-08,2,-30,2,70.0,-44
2021-01-23,vlst,2020-11-25,2,-32,1,70.0,-59
2021-01-24,vlst,2020-11-12,2,-34,1,65.0,-73
2021-01-24,vlst,2020-11-22,2,-33,2,65.0,-63
2021-01-24,vlst,2020-12-04,2,-31,3,66.66666666666667,-51
2021-01-24,vlst,2020-12-10,2,-30,4,67.5,-45
2021-01-25,vlst,2020-10-27,1,-36,1,70.0,-90
2021-01-25,vlst,2020-12-14,1,-30,2,71.5,-42
2021-01-29,vlst,2020-12-02,2,-32,1,75.0,-58
2021-01-29,vlst,2020-12-06,2,-31,2,76.5,-54
2021-02-01,vlst,2020-11-23,1,-34,1,70.0,-70
2021-02-01,vlst,2020-12-01,1,-32,2,75.0,-62
2021-02-04,vlst,2020-11-08,2,-36,1,70.0,-88
2021-02-07,vlst,2020-11-29,2,-34,1,75.0,-70
2021-02-10,vlst,2020-11-27,3,-34,1,60.0,-75
2021-02-10,vlst,2020-12-16,3,-32,2,62.5,-56
2021-02-11,vlst,2020-11-14,3,-36,1,65.0,-89
2021-02-11,vlst,2020-11-18,3,-36,2,65.0,-85
2021-02-11,vlst,2020-12-02,3,-34,3,60.0,-71
2021-02-11,vlst,2020-12-05,3,-33,4,58.75,-68
2021-02-11,vlst,2020-12-10,3,-33,5,59.0,-63
2021-02-18,vlst,2020-11-22,2,-36,1,65.0,-88
